comprimé;0;MEDROL 100 mg, comprimé
 comprimé et solution(s) et granules et poudre et pommade;0;MAGNESIA CARBONICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;0;EPLERENONE ARROW 50 mg, comprimé pelliculé
gélule;0;FLUCONAZOLE BIOGARAN 100 mg, gélule
poudre et  solvant pour suspension injectable à libération prolongée;0;RISPERDALCONSTA L.P. 37,5 mg/2 ml, poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie
comprimé orodispersible;0;ONDANSETRON ARROW 8 mg, comprimé orodispersible
 comprimé et solution(s) et granules et poudre et pommade;0;CITRUS LIMONUM BOIRON, dégré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gélule à libération modifiée;1;MÉTHYLPHÉNIDATE;QUASYM L.P. 20 mg, gélule à libération modifiée
solution et  solution pour dialyse péritonéale;1;GLUCOSE ANHYDRE;PHYSIONEAL 40 GLUCOSE 3,86 % CLEARFLEX, solution pour dialyse péritonéale
poudre et  solvant pour solution injectable;0;VIRAFERONPEG 50 microgrammes, poudre et solvant pour solution injectable
poudre et  solvant pour solution pour perfusion;0;GAMMAGARD 50 mg/ml, poudre et solvant pour solution pour perfusion
poudre et  solvant pour suspension injectable à libération prolongée;1;LEUPRORÉLINE;ENANTONE LP 30 mg, poudre et solvant pour suspension injectable (SC) à libération prolongée en seringue-pré-remplie
poudre pour suspension buvable;1;CÉFACLOR ANHYDRE;CEFACLOR MYLAN 250 mg/5ml, poudre pour suspension buvable
comprimé pelliculé;0;LETROZOLE ZYDUS 2,5 mg, comprimé pelliculé
suspension pour inhalation par nébuliseur;0;BUDESONIDE TEVA 0,5 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose
comprimé;0;REPAGLINIDE RANBAXY 0,5 mg, comprimé
comprimé pelliculé;0;FUCIDINE 250 mg, comprimé pelliculé
comprimé à sucer;1;NICOTINE;NIQUITIN MENTHE DOUCE 2 mg SANS SUCRE, comprimé à sucer édulcoré à l'aspartam
comprimé;0;FENOFIBRATE ZYDUS 160 mg, comprimé
 comprimé et solution(s) et granules et poudre et pommade;0;CALCAREA PHOSPHORICA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé sécable;0;SPIRONOLACTONE CRISTERS 75 mg, comprimé pelliculé sécable
comprimé;1;RILMÉNIDINE;RILMENIDINE EVOLUGEN 1 mg, comprimé
comprimé sécable;0;PARACETAMOL CRISTERS 1 g, comprimé sécable
comprimé pelliculé sécable;0;MIANSERINE RPG 60 mg, comprimé pelliculé sécable
granulés;0;ASCORBATE DE CALCIUM RICHARD ADULTES, granulés
compresse imprégné(e) pour usage dentaire;0;XYLONOR, compresse imprégnée pour usage dentaire
comprimé pelliculé;0;LETROZOLE BLUEFISH 2,5 mg, comprimé pelliculé
solution injectable;1;SCOPOLAMINE;SCOPOLAMINE COOPER 0,5 mg/2 ml, solution injectable
comprimé pelliculé sécable;1;ESCITALOPRAM;ESCITALOPRAM CRISTERS 20 mg, comprimé pelliculé sécable
solution buvable;0;NEULEPTIL 1 POUR CENT, solution buvable
comprimé pelliculé;0;DOMPERIDONE EG 10 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;0;ARISTOLOCHIA CLEMATITIS LEHNING, degré de dilution compris entre 13CH et 30CH ou entre 26DH et 60DH
sirop;0;VICKS SIROP PECTORAL 0,15 %, sirop
solution à diluer pour perfusion;0;TRACUTIL, solution à diluer pour perfusion
poudre pour solution à diluer pour perfusion;0;MYLOTARG 5 mg, poudre pour solution à diluer pour perfusion
solution injectable;0;VINCRISTINE TEVA 1 mg/ml, solution injectable
gélule;0;GELUTROPHYL 200 mg, gélule
gélule;0;FLISINT 20 mg, gélule
comprimé à croquer;0;SPORTENINE, comprimé à croquer
comprimé pelliculé;1;CARBIDOPA;LEVODOPA/CARBIDOPA/ENTACAPONE EG 50 mg/12.5 mg/200 mg, comprimé pelliculé
poudre pour solution buvable;1;GLUCOSAMINE;OSAFLEXAN 1178 mg, poudre pour solution buvable en sachet-dose
solution pour application;0;ETHER GIFRER, solution pour application cutanée
poudre et  solvant pour suspension injectable;0;EXTENCILLINE 1,2 MUI, poudre et solvant pour suspension injectable IM
comprimé pelliculé;0;RILUZOLE PMCS 50 mg, comprimé pelliculé
comprimé;0;ANGUSTA 25 microgrammes, comprimé
comprimé pelliculé sécable;0;RISPERIDONE ZYDUS 2 mg, comprimé pelliculé sécable
comprimé;0;OLIGOSTIM PHOSPHORE, comprimé
comprimé pelliculé sécable;0;LEVETIRACETAM KRKA 1000 mg, comprimé pelliculé sécable
gélule à libération prolongée;1;VENLAFAXINE;VENLAFAXINE RATIOPHARM LP 37,5 mg, gélule à libération prolongée
 comprimé et solution(s) et granules et poudre et pommade;0;AILANTHUS GLANDULOSA LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
comprimé à sucer;1;CALCIUM ÉLÉMENT;CALCIUM VITAMINE D3 BIOGARAN 500 mg/400 UI, comprimé à sucer
solution injectable;0;CHLORHYDRATE DE PROCAINE LAVOISIER 10 mg/ml, solution injectable
collyre en solution;0;FLUORESCEINE FAURE 0,5 POUR CENT, collyre en solution en récipient unidose
comprimé pelliculé;1;PÉRINDOPRIL;COVERSYL 2,5 mg, comprimé pelliculé
gélule à libération prolongée;1;GALANTAMINE;GALANTAMINE TEVA SANTE LP 16 mg, gélule à libération prolongée
comprimé pelliculé sécable;0;LAMIVUDINE/ZIDOVUDINE MYLAN 150 mg/300 mg, comprimé pelliculé sécable
comprimé pelliculé;1;ÉTHINYLESTRADIOL;BELANETTE 0,02 mg/3 mg, comprimé pelliculé
comprimé pelliculé;0;DOMPERIDONE ACTAVIS 10 mg, comprimé pelliculé
comprimé pelliculé;1;MONTÉLUKAST;SINGULAIR 10 mg, comprimé pelliculé
comprimé pelliculé sécable;1;ESCITALOPRAM;ESCITALOPRAM BROWN & BURK 10 mg, comprimé pelliculé sécable
poudre pour suspension buvable;2;CLAVULANIQUE (ACIDE);AMOXICILLINE ANHYDRE;AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA LAB 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (Rapport Amoxicilline/Acide clavulanique : 8/1)
gélule gastro-résistant(e);1;DULOXÉTINE;DULOXETINE ARROW 30 mg, gélule gastro-résistante
comprimé pelliculé;0;IRBESARTAN ZENTIVA 150 mg, comprimé pelliculé
comprimé sécable;0;AMIODARONE ZENTIVA 200 mg, comprimé sécable
comprimé pelliculé;0;LOSARTAN/HYDROCHLOROTHIAZIDE EG 100 mg/25 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;0;KALIUM BROMATUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé sécable;0;SIMVASTATINE TEVA 20 mg, comprimé pelliculé sécable
solution à diluer pour perfusion;0;DOCETAXEL ACCORD 20 mg/1 ml, solution à diluer pour perfusion
poudre pour suspension buvable;2;CLAVULANIQUE (ACIDE);AMOXICILLINE ANHYDRE;AMOXICILLINE/ACIDE CLAVULANIQUE BIOGARAN 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable (Rapport Amoxicilline/Acide clavulanique : 8/1)
comprimé;1;PÉRINDOPRIL;PERINDOPRIL EVOLUGEN 8 mg, comprimé
solution et  solution pour perfusion;3;GLUCOSE ANHYDRE;LYSINE;CYSTÉINE;PEDIAVEN AP-HP G20, solution pour perfusion
comprimé orodispersible;0;RISPERIDONE TEVA 3 mg, comprimé orodispersible
comprimé pelliculé;1;CARBIDOPA ANHYDRE;LEVODOPA/CARBIDOPA/ENTACAPONE MYLAN 175 mg/43,75 mg/200 mg, comprimé pelliculé
comprimé pelliculé;0;PINAVERIUM EG 100 mg, comprimé pelliculé
comprimé pelliculé;1;AZITHROMYCINE;AZITHROMYCINE PHR LAB 250 mg, comprimé pelliculé
comprimé pelliculé sécable;1;QUINAPRIL BASE;KOREC 5 mg, comprimé pelliculé sécable
comprimé dispersible ou à croquer;0;LAMOTRIGINE ARROW LAB 200 mg, comprimé dispersible ou à croquer
solution pour application;0;SANITOS 11 g/100 g, solution pour application cutanée
comprimé;0;SEDASPIR, comprimé
comprimé sécable;0;CANDESARTAN TEVA 16 mg, comprimé sécable
solution injectable;0;NORDIMET 25 mg, solution injectable en stylo prérempli
comprimé enrobé;1;CÉFUROXIME;CEFUROXIME SANDOZ 250 mg, comprimé enrobé
comprimé pelliculé;0;ETORICOXIB ARROW 30 mg, comprimé pelliculé
crème;0;ACICLOVIR ZENTIVA 5 %, crème
comprimé sécable;1;BROMOCRIPTINE BASE;BROMOCRIPTINE ZENTIVA 2,5 mg, comprimé sécable
comprimé;0;CHLORHYDRATE DE DILTIAZEM MYLAN 60 mg, comprimé
comprimé pelliculé;1;CARBIDOPA ANHYDRE;STALEVO 175 mg/43,75 mg/200 mg, comprimé pelliculé
gel;0;AFTAGEL, gel buccal
solution et  solution pour perfusion;1;GLUCOSE ANHYDRE;CLINIMIX N12 G20, solution pour perfusion en poche bicompartiment
comprimé pelliculé sécable;0;BENAZEPRIL HYDROCHLOROTHIAZIDE TEVA SANTE 10 mg/12,5 mg, comprimé pelliculé sécable
comprimé;0;TELMISARTAN/HYDROCHLOROTHIAZIDE ARROW 80 mg/25 mg, comprimé
solution buvable;0;CHOLECALCIFEROL SANDOZ 100 000 UI, solution buvable en ampoule
comprimé pelliculé;0;EFAVIRENZ CRISTERS 600 mg, comprimé pelliculé
gélule;0;SECALIP 100 mg, gélule
crème;0;LOCOID 0,1%, crème
comprimé pelliculé;0;EUDION 500 mg, comprimé pelliculé
comprimé gastro-résistant(e);0;DEPAKINE 200 mg, comprimé gastro-résistant
 comprimé et solution(s) et granules et poudre et pommade;0;PASSIFLORA INCARNATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé à mâcher;1;CALCIUM ÉLÉMENT;NATECAL VITAMINE D3 600 mg/400 U.I., comprimé à mâcher
solution pour perfusion;1;GLUCOSE ANHYDRE;GLUCOSE 10 % BIOLUZ, solution pour perfusion
comprimé pelliculé sécable;0;RISPERIDONE TEVA SANTE 2 mg, comprimé pelliculé sécable
solution pour perfusion;1;GLUCOSE ANHYDRE;GLUCOSE 10 % B.BRAUN, solution pour perfusion
comprimé pelliculé sécable;0;OFLOXACINE SANDOZ 200 mg, comprimé pelliculé sécable
solution à diluer pour perfusion;0;OXALIPLATINE KABI 5 mg/ml, solution à diluer pour perfusion
comprimé sécable;0;MYSOLINE 250 mg, comprimé sécable
gélule;1;AMLODIPINE;AMLODIPINE CRISTERS 5 mg, gélule
comprimé à croquer;1;RALTÉGRAVIR;ISENTRESS 100 mg, comprimé à croquer
solution injectable;0;BINOCRIT 3000 UI/0,3 ml, solution injectable en seringue pré-remplie
comprimé pelliculé à libération prolongée;1;OXYCODONE;OXYCONTIN LP 30 mg, comprimé pelliculé à libération prolongée
comprimé pelliculé;0;VITALOGINK 40 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;0;CALCAREA SULFURICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution injectable;0;EPHEDRINE AGUETTANT 3 mg/ml, solution injectable en seringue préremplie
comprimé gastro-résistant(e);1;PANTOPRAZOLE;PANTOPRAZOLE ARROW LAB 40 mg, comprimé gastro-résistant
comprimé pelliculé sécable;0;PRAVASTATINE EVOLUGEN 20 mg, comprimé pelliculé sécable
comprimé pelliculé;0;LOSARTAN/HYDROCHLOROTHIAZIDE ARROW 100 mg/12,5 mg, comprimé pelliculé
pommade;0;DEFLAMOL, pommade
gélule à libération prolongée;0;ADVAGRAF 3 mg, gélule à libération prolongée
émulsion injectable pour perfusion;1;RÉTINOL;VITALIPIDE ADULTES, émulsion injectable pour perfusion
solution injectable;0;PROHANCE 4748,10 mg/17 ml, solution injectable en seringue pré-remplie
comprimé;0;TELMISARTAN RANBAXY 80 mg, comprimé
solution buvable;0;DUPHALAC 10 g/15 ml, solution buvable en sachet
crème;0;ROZACREME 0,75 %, crème
solution buvable;0;AVENA SATIVA TEINTURE MERE BOIRON, liquide oral
solution injectable;0;UMULINE RAPIDE 100 UI/1 ml, solution injectable en flacon
 comprimé et solution(s) et granules et poudre et pommade;0;ADRENALINUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;0;IRBESARTAN EG 75 mg, comprimé pelliculé
gélule;0;CICLETANINE MYLAN 50 mg, gélule
solution pour perfusion;1;TRÉPROSTINIL;REMODULIN 5 mg/ml, solution pour perfusion
crème;1;CALCIPOTRIOL;DAIVONEX 50 microgrammes/gramme, crème
comprimé pelliculé;1;TÉNOFOVIR ALAFÉNAMIDE;DESCOVY 200 mg/25 mg, comprime pellicule
suspension injectable;0;MENJUGATE 10 microgrammes, suspension injectable en seringue préremplie. Vaccin conjugué méningococcique groupe C
comprimé enrobé;0;OLANZAPINE ACCORD 7,5 mg, comprimé enrobé
 comprimé et solution(s) et granules et poudre et pommade;0;ARGENTUM METALLICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
poudre pour solution injectable ou pour perfusion;0;FLUDARA 50 mg, poudre pour solution injectable ou perfusion
solution injectable;0;KEVZARA 200 mg, solution injectable en seringue préremplie
poudre et  solvant et  matrice pour matrice implantable;0;INDUCTOS 1,5 mg/ml, poudre, solvant et matrice pour matrice implantable
solution injectable pour perfusion;1;LYSINE;AMINOSTAB, solution injectable pour perfusion en flacon
comprimé sécable;0;CANDESARTAN TEVA 8 mg, comprimé sécable
dispositif;0;RIVASTIGMINE SANDOZ 4,6 mg/24h, dispositif transdermique
comprimé pelliculé sécable;0;RISPERIDONE TEVA 1 mg, comprimé pelliculé sécable
suspension injectable;0;HEXYON, suspension injectable en seringue préremplie
gélule;0;PARACETAMOL RATIOPHARM 500 mg, gélule
comprimé pelliculé;0;VENCLYXTO 100 mg, comprimé pelliculé
comprimé;0;PRAVASTATINE TEVA 40 mg, comprimé
 comprimé et solution(s) et granules et poudre et pommade;0;THUYA OCCIDENTALIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution injectable;0;CYTARABINE SANDOZ 100 mg/ml, solution injectable
comprimé enrobé;0;RHINADVIL RHUME IBUPROFENE/PSEUDOEPHEDRINE, comprimé enrobé
comprimé;0;ACARBOSE BIOGARAN 100 mg, comprimé sécable
poudre et  solvant pour solution injectable;0;FEIBA 50 U/ml, poudre et solvant pour solution injectable
comprimé dispersible;0;VOTUBIA 2 mg, comprimé dispersible
comprimé pelliculé;1;IVABRADINE;IVABRADINE SANDOZ 7,5 mg, comprimé pelliculé
solution injectable;0;RETACRIT 20000 UI/0,5 ml, solution injectable en seringue préremplie
gélule;1;IXAZOMIB;NINLARO 2,3 mg, gélule
comprimé pelliculé;0;ANASTROZOLE EVOLUGEN 1 mg, comprimé pelliculé
poudre pour solution injectable;1;TICARCILLINE BASE;TICARPEN 5 g, poudre pour solution injectable (I.V.)
granules et  solution en gouttes en gouttes et  crème;0;COCHLEARIA OFFICINALIS WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
crème;0;EFFICORT LIPOPHILE 0,127 POUR CENT, crème
poudre et  solvant pour solution injectable;2;HORMONE LUTÉINISANTE HUMAINE ;HORMONE FOLLICULO STIMULANTE ;MENOPUR 75 UI, poudre et solvant pour solution injectable
solution pour application;1;DIGLUCONATE DE CHLORHEXIDINE;CETAVLEX AQUEUX 0,5 %, solution pour application cutanée
 comprimé et solution(s) et granules et poudre et pommade;0;ABIES PECTINATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;0;EXEMESTANE ZENTIVA LAB 25 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;0;APOCYNUM CANNABINUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
comprimé pelliculé;1;ATORVASTATINE;TAHOR 10 mg, comprimé pelliculé
comprimé effervescent(e);0;DAFALGANHOP 1000 mg, comprimé effervescent
comprimé pelliculé;0;RISPERIDONE ALTER 2 mg, comprimé pelliculé
comprimé dispersible et orodispersible;0;PHLOROGLUCINOL BIOGARAN 80 mg, comprimé orodispersible
comprimé pelliculé;1;SILDÉNAFIL;SILDENAFIL TEVA 50 mg, comprimé pelliculé
gélule;1;CÉFADROXIL;ORACEFAL 500 mg, gélule
 comprimé et solution(s) et granules et poudre et pommade;0;NERIUM OLEANDER BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé sécable;0;ATENOLOL ZENTIVA 50 mg, comprimé sécable
comprimé pelliculé;0;ATOVAQUONE/PROGUANIL ZENTIVA 250 mg/100 mg, comprimé pelliculé
suppositoire;0;DULCOLAX 10 mg, suppositoire
gélule;1;OXYCODONE;OXYNORM 10 mg, gélule
comprimé pelliculé sécable;0;MIANSERINE SANDOZ 30 mg, comprimé pelliculé sécable
comprimé pelliculé;0;TOPIRAMATE BGR 50 mg, comprimé pelliculé
comprimé;1;BÉDAQUILINE;SIRTURO 100 mg, comprimé
solution pour pulvérisation;0;HUMEX FOURNIER 0,04 POUR CENT, solution pour pulvérisation nasale
comprimé enrobé;1;BÊTA-ESTRADIOL;CLIMODIENE 2 mg/2 mg, comprimé enrobé
comprimé pelliculé à libération prolongée;0;FELODIPINE ZENTIVA L.P. 5 mg, comprimé pelliculé à libération prolongée
solution injectable;0;RISORDAN 10 mg/10 ml, solution injectable (IV, intracoronaire) en ampoule
gélule;0;PREGABALINE SANDOZ 300 mg, gélule
poudre pour solution pour perfusion;1;GEMCITABINE;GEMCITABINE HOSPIRA 200 mg, poudre pour solution pour perfusion
comprimé orodispersible;0;OLANZAPINE SANDOZ 20 mg, comprimé orodispersible
solution pour perfusion;1;GLUCOSE ANHYDRE;GLUCOSE 50 % B.BRAUN, solution pour perfusion
gomme à mâcher médicamenteux(se);1;NICOTINE;NICORETTE MENTHE FRAICHE 2 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au xylitol et à l'acésulfame potassique
pastille;0;HUMEX MAL DE GORGE BICLOTYMOL 20 mg ORANGE, pastille
solution pour perfusion;1;CIPROFLOXACINE;CIPROFLOXACINE KABI 400 mg/200 ml, solution pour perfusion en poche
solution pour perfusion;0;FLUCONAZOLE RENAUDIN 2 mg/mL, solution pour perfusion
comprimé à libération prolongée;1;QUÉTIAPINE;QUETIAPINE EG LP 400 mg, comprimé à libération prolongée
ovule;0;PHYSIOGINE 0,5 mg, ovule
solution injectable;0;AETOXISCLEROL TAMPONNE 3 POUR CENT (60 mg/2 ml), solution injectable (IV) en ampoule
poudre pour suspension buvable;1;CEFPODOXIME;CEFPODOXIME RATIOPHARM 40 mg/5 ml ENFANT ET NOURRISSON, poudre pour suspension buvable
solution injectable;1;OCTRÉOTIDE;OCTREOTIDE KABI 500 microgrammes/1 mL, solution injectable
suspension injectable;0;INSULATARD INNOLET 100 unités internationales/ml, suspension injectable en stylo prérempli
comprimé sécable;0;TETMODIS 25 mg, comprimé sécable
comprimé sécable;0;ACIDE TIAPROFENIQUE EG 100 mg, comprimé sécable
solution pour pulvérisation;0;PERCUTALGINE SPRAY, solution pour pulvérisation cutanée
gélule;0;ARKOGELULES CHARDON MARIE, gélule
comprimé;1;BUPRÉNORPHINE;BUPRENORPHINE CRISTERS 8 mg, comprimé sublingual
gélule;1;RIVASTIGMINE;RIVASTIGMINE BIOGARAN 1,5 mg, gélule
comprimé sécable;0;ECAZIDE, comprimé sécable
poudre et  solvant pour suspension injectable;1;PASIRÉOTIDE;SIGNIFOR 40 mg, poudre et solvant pour suspension injectable
gel;0;REPARIL, gel
gélule;1;PANOBINOSTAT;FARYDAK 20 mg, gélule
dispositif;0;NEUPRO 2 mg/24 h, dispositif transdermique
comprimé enrobé;0;MELIANE, comprimé enrobé
comprimé;0;GLIMEPIRIDE MYLAN PHARMA 1 mg, comprimé
crème;1;ÉCONAZOLE BASE;ECONAZOLE EG 1 %, crème
comprimé pelliculé;0;LETROZOLE SUN 2,5 mg, comprimé pelliculé
comprimé pelliculé;0;LEVETIRACETAM ZYDUS 500 mg, comprimé pelliculé
comprimé pelliculé;1;ROSUVASTATINE;ROSUVASTATINE EVOLUGEN 10 mg, comprimé pelliculé
comprimé sécable;0;ALPRAZOLAM SANDOZ 0,25 mg, comprimé sécable
comprimé;0;FOSINOPRIL MYLAN 20 mg, comprimé
comprimé à croquer;0;AMPHOSCA ORCHITYN, comprimé à croquer
comprimé pelliculé;1;ENTÉCAVIR;ENTECAVIR CRISTERS 1 mg, comprimé pelliculé
comprimé gastro-résistant(e);1;PANTOPRAZOLE;PANTOLOC CONTROL 20 mg, comprimé gastro-résistant
comprimé pelliculé;0;IRBESARTAN TEVA 75 mg, comprimé pelliculé
comprimé;0;BADIAGA COMPLEXE N°47, comprimé sublingual
solution injectable pour perfusion;0;ETOPOSIDE TEVA 200 mg/10 ml, solution injectable pour perfusion
 comprimé et solution(s) et granules et poudre et pommade;0;KALMIA LATIFOLIA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;0;IKOREL 20 mg, comprimé
gélule;1;MILNACIPRAN;MILNACIPRAN ARROW 50 mg, gélule
solution buvable;0;PULMOFLUIDE SIMPLE, solution buvable
comprimé sécable;0;MOLSIDOMINE ARROW 2 mg, comprimé sécable
capsule;0;METOPIRONE 250 mg, capsule
comprimé orodispersible;1;RIZATRIPTAN;RIZATRIPTAN SANDOZ 10 mg, comprimé orodispersible
dispositif;0;FENTANYL ZENTIVA 100 microgrammes/heure, dispositif transdermique
comprimé pelliculé;0;TRILEPTAL 300 mg, comprimé pelliculé
comprimé pelliculé sécable;0;PRAVASTATINE EG 10 mg, comprimé pelliculé sécable
comprimé sécable;0;ENALAPRIL CRISTERS 20 mg, comprimé sécable
comprimé pelliculé;1;RALTÉGRAVIR;ISENTRESS 400 mg, comprimé pelliculé
comprimé sécable;0;RAMIPRIL ZYDUS FRANCE 5 mg, comprimé sécable
 comprimé et solution(s) et granules et poudre et pommade;0;COFFEA CRUDA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
 comprimé et solution(s) et granules et poudre et pommade;0;AGRIMONIA EUPATORIA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;0;LEFLUNOMIDE MYLAN 20 mg, comprimé pelliculé
comprimé pelliculé sécable;0;AMISULPRIDE CRISTERS 400 mg, comprimé pelliculé sécable
comprimé pelliculé;1;TÉNOFOVIR DISOPROXIL;TENOFOVIR DISOPROXIL BIOGARAN 245 mg, comprimé pelliculé
comprimé sécable;0;SPIRONOLACTONE ZENTIVA 50 mg, comprimé sécable
comprimé pelliculé sécable;0;TILCOTIL 20 mg, comprimé pelliculé sécable
comprimé;0;LUTERAN 5 mg, comprimé
gélule;0;PROGLICEM 100 mg, gélule
comprimé sécable;0;LANVIS 40 mg, comprimé sécable
poudre et  solvant pour solution injectable;0;HEMOLEVEN 1000 UI/10 mL, poudre et solvant pour solution injectable
solution pour perfusion;0;BREVIBLOC 10 mg/ml, solution pour perfusion
poudre et  solvant pour solution injectable;0;KOGENATE BAYER 3000 UI, poudre et solvant pour solution injectable
comprimé enrobé et  comprimé enrobé et  comprimé enrobé enrobé;0;TRINORDIOL, comprimé enrobé
poudre pour application;0;ECONAZOLE TEVA SANTE 1 POUR CENT, poudre pour application cutanée
solution buvable;0;AMBROXOL EG LABO CONSEIL 0,6 %, solution buvable
solution pour application;0;EAU OXYGENEE GIFRER 10 VOLUMES, solution pour application cutanée
poudre et  solvant pour préparation injectable;1;HYDROCORTISONE;HYDROCORTISONE UPJOHN 500 mg, préparation injectable
granulés enrobé en vrac;0;NORMACOL 62 g/100 g, granulé enrobé en vrac
 comprimé et solution(s) et granules et poudre et pommade;0;VISCUM ALBUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
granulés et  granulés pour solution buvable;0;REVITALOSE, granulés pour solution buvable en sachet-dose
sirop;0;EUPHON, sirop
comprimé pelliculé;0;VALSARTAN/HYDROCHLOROTHIAZIDE AHCL 80 mg/12,5 mg, comprimé pelliculé
comprimé;0;CEPHYL, comprimé
comprimé enrobé;0;OLANZAPINE ZENTIVA LAB 7,5 mg, comprimé enrobé
pâte dentifrice;0;FLUODONTYL 1350 mg, pâte dentifrice
 comprimé et solution(s) et granules et poudre et pommade;0;KALIUM PHOSPHORICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;0;LOSARTAN/HYDROCHLOROTHIAZIDE ZENTIVA 100 mg/25 mg, comprimé pelliculé
solution injectable;1;GENTAMICINE;GENTAMICINE PANPHARMA 40 mg, solution injectable
émulsion fluide pour application;0;DERMAZOL 1 POUR CENT, émulsion fluide pour application locale
