1;PÉRINDOPRIL|1,669  mg;PERINDOPRIL KRKA 2 mg, comprimé
0;PASSEDYL ENFANTS ET NOURRISSONS, sirop
1;DEXRAZOXANE|500 mg;CARDIOXANE 500 mg, poudre pour solution pour perfusion
0;ALFALFA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;LOSARTAN ACTAVIS 100 mg, comprimé pelliculé
0;FELDENE 10 mg, gélule
0;TICLOPIDINE SANDOZ 250 mg, comprimé pelliculé
0;CIALIS 5 mg, comprimé pelliculé
1;IODE|30 g;TELEBRIX GASTRO (300 mg l/mL), solution pour administration par voie orale ou rectale
1;PYRANTEL BASE|5 g;HELMINTOX 125 mg/2,5 ml, suspension buvable
1;AMOXICILLINE ANHYDRE|500 mg;AMODEX 500 mg/5 ml, poudre pour suspension buvable
0;ABSINTHIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;ALTIZIDE SPIRONOLACTONE RPG, comprimé
1;GRAZOPRÉVIR|100 mg;ZEPATIER 50 mg/100 mg, comprimé pelliculé
0;CARVEDILOL MYLAN 25 mg, comprimé pelliculé sécable
1;LANTHANE|1000 mg;FOSRENOL 1000 mg, comprimé à croquer
1;KETOTIFÈNE BASE|1 mg;ZADITEN 1 mg, gélule
0;ADONIS VERNALIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;OXYGENE MEDICINAL MESSER 200 bar, gaz pour inhalation, en bouteille
0;PIRACETAM ARROW 800 mg, comprimé pelliculé
1;GEMCITABINE|2 000 mg;GEMCITABINE ACCORD 2000 mg, poudre pour solution pour perfusion
0;GLICLAZIDE BIOGARAN 80 mg, comprimé sécable
0;CURACNE 10 mg, capsule molle
1;SÉLÉNIUM|19 microgrammes;OLIGOSTIM SELENIUM 19 microgrammes, comprimé
0;LASILIX 10 mg/ml, solution buvable
0;CARVEDILOL MYLAN 12.5 mg, comprimé pelliculé sécable
1;FLUVASTATINE|80 mg;FLUVASTATINE SANDOZ LP 80 mg, comprimé pelliculé à libération prolongée
0;ZALASTA 10 mg, comprimé orodispersible
1;GLATIRAMÈRE|18 mg;GLATIRAMER MYLAN 20 mg/ml, solution injectable en seringue préremplie
0;APTIVUS 250 mg, capsule molle
0;PERSANTINE 75 mg, comprimé enrobé
0;OLANZAPINE MYLAN GENERIQUES 20 mg, comprimé orodispersible
0;FLUDESOXYGLUCOSE [18 F]-IBA, solution injectable
0;TRANSILANE SANS SUCRE, poudre pour suspension buvable édulcorée à l'aspartam en sachet-dose
0;GLONOINUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
0;NEVIRAPINE SANDOZ LP 400 mg, comprimé à libération prolongée
0;XANAX 0,50 mg, comprimé sécable
0;METOJECT 17,5 mg/0,35 ml, solution injectable en stylo prérempli
1;PÉRINDOPRIL|6,676 mg;PERINDOPRIL ARROW 8 mg, comprimé
1;MIGALASTAT|123 mg;GALAFOLD 123 mg, gélule
0;CONFIDEX 500 UI, poudre et solvant pour solution injectable
1;DULOXÉTINE|60 mg;DULOXETINE MYLAN PHARMA 60 mg, gélule gastro-résistante
1;GLUCOSE ANHYDRE|2,50 g;GLUCOSE 2,5 % VIAFLO, solution pour perfusion
0;PLEGRIDY 63 microgrammes, solution injectable en stylo prérempli.PLEGRIDY 94 microgrammes, solution injectable en stylo prérempli.
0;SODIUM BICARBONATE RENAUDIN 4,2 POUR CENT (0,84 g/20 ml), solution injectable en ampoule
0;BURINEX 2 mg/4 ml IV, solution injectable en ampoule
0;REPEVAX, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux (acellulaire, multicomposé) et poliomyélitique (inactivé), (adsorbé, à teneur réduite en antigène (s))
0;CIRKAN A LA PREDNACINOLONE, suppositoire
0;RETACRIT 1000 UI/0,3 ml, solution injectable en seringue préremplie
0;APHTORAL, comprimé à sucer
0;PRAVASTATINE ZYDUS 20 mg, comprimé sécable
0;IBUPROFENE ARROW 5 %, gel
1;FOSFOMYCINE|1 g;FOSFOMYCINE PANPHARMA 1 g, poudre pour solution injectable
0;CETIRIZINE ISOMED 10 mg, comprimé pelliculé sécable
0;TITANOREINE A LA LIDOCAINE 2 POUR CENT, crème
0;XARELTO 10 mg, comprimé pelliculé
0;SOTALOL ZENTIVA 160 mg, comprimé sécable
0;KETOCONAZOLE ARROW 2 %, gel en récipient-unidose
0;CUTISAN 1 %, poudre pour application cutanée
0;ECONAZOLE EG L.P. 150 mg, ovule à libération prolongée
1;MAGNÉSIUM|47,4 mg;MAGNESPASMYL 47,4 mg, comprimé pelliculé
0;ENALAPRIL CRISTERS 20 mg, comprimé sécable
1;DONÉPÉZIL BASE|9,12 mg;DONEPEZIL TEVA SANTE 10 mg, comprimé pelliculé
0;DIPRIVAN 10 mg/ml, émulsion injectable en seringue pré-remplie
1;AMIKACINE|500 mg;AMIKACINE MYLAN 500 mg, poudre pour solution injectable
0;EUVANOL INHALATION, solution pour inhalation par vapeur
0;ANTARENE CODEINE 200 mg/30 mg, comprimé pelliculé
0;PREGABALINE ZENTIVA K.S. 100 mg, gélule
1;THÉOPHYLLINE ANHYDRE|300 mg;THEOSTAT 300 mg A LIBERATION PROLONGEE, comprimé sécable
1;RABÉPRAZOLE BASE|9,42 mg;RABEPRAZOLE ALMUS 10 mg, comprimé gastro-résistant
0;TELMISARTAN RANBAXY 80 mg, comprimé
0;VACCIN RABIQUE INACTIVE MERIEUX, poudre et solvant pour suspension injectable. Vaccin rabique préparé sur cellules diploïdes humaines
0;DIOSMINE TEVA CONSEIL 600 mg, comprimé pelliculé
0;SYNACTHENE 0,25 mg/1 ml, solution injectable
1;SILDÉNAFIL|100 mg;SILDENAFIL CRISTERS 100 mg, comprimé pelliculé
0;ELOCTA 2000 UI, poudre et solvant pour solution injectable
0;NIFUROXAZIDE ZENTIVA 200 mg, gélule
1;AMITRIPTYLINE|50 mg;LAROXYL 50 mg, comprimé pelliculé
0;GLYCEROL/VASELINE/PARAFFINE PIERRE FABRE SANTE 15 %/8 %/2 %, crème
1;ROSUVASTATINE|5 mg;ROSUVASTATINE BIOGARAN 5 mg, comprimé pelliculé
0;REPAGLINIDE ARROW 0,5 mg, comprimé
1;ÉPINASTINE|0,436 mg;PURIVIST 0,5 mg/ml, collyre en solution
0;TELMISARTAN/HYDROCHLOROTHIAZIDE EG 80 mg/25 mg, comprimé
1;FLUVASTATINE|80 mg;FLUVASTATINE CRISTERS L.P. 80 mg, comprimé pelliculé à libération prolongée
0;GLIMEPIRIDE BGR 2 mg, comprimé
1;LACTULOSE|10,00 g;LAXARON 10 g/15 ml, solution buvable en sachet
1;LOPRAZOLAM|1 mg;HAVLANE, comprimé sécable
1;RILMÉNIDINE|1 mg;RILMENIDINE MYLAN 1 mg, comprimé
0;FOSINOPRIL ARROW GENERIQUES 10 mg, comprimé sécable
1;RILMÉNIDINE|1 mg;RILMENIDINE BIOGARAN 1 mg, comprimé
0;EXACYL 1 g/10 ml, solution buvable
0;JABORANDI BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;GAVISCONPRO MENTHE 1000 mg/200 mg/10 ml, suspension buvable
1;DIGLUCONATE DE CHLORHEXIDINE|3 mg;DRILL SANS SUCRE ANIS MENTHE, pastille édulcorée à l'isomalt et à l'acésulfame de potassium
0;LORATADINE NEPENTHES 10 mg, comprimé
0;HUMIRA 40 mg, solution injectable en seringue préremplie (0,4 ml)
0;OPTICRON UNIDOSE, collyre en récipient unidose
0;AMMONIUM MURIATICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;VIRGAN 1,5 mg/g, gel ophtalmique
1;GLUCOSE ANHYDRE|10 g;GLUCOSE 50 POUR CENT (10 g/20 ml) RENAUDIN, solution injectable en ampoule
1;QUÉTIAPINE|400 mg;QUETIAPINE EG LP 400 mg, comprimé à libération prolongée
1;PIROXICAM|20 mg;BREXIN 20 mg, comprimé sécable
0;UN-ALFA 0,5 microgrammes, capsule molle
0;ZOLMITRIPTAN RANBAXY 2,5 mg, comprimé orodispersible
0;FLUCONAZOLE KABI 2 mg/ml, solution pour perfusion
1;ESCITALOPRAM|5 mg;ESCITALOPRAM BROWN & BURK 5 mg, comprimé pelliculé sécable
1;DIGLUCONATE DE CHLORHEXIDINE|0,143 g;RHINADVIL MAUX DE GORGE TIXOCORTOL/CHLORHEXIDINE, suspension pour pulvérisation buccale
1;ABACAVIR BASE|600 mg;KIVEXA 600 mg/300 mg, comprimé pelliculé
1;CLOPIDOGREL|75 mg;CLOPIDOGREL BIOGARAN 75 mg, comprimé pelliculé
0;GLICLAZIDE MYLAN 80 mg, comprimé sécable
0;CERVAGEME 1 mg, ovule
4;QUININE|480,00 mg;QUINIDINE|13,20 mg;CINCHONIDINE BASE|3,40 mg;CINCHONINE|3,40 mg;QUINIMAX 500 mg/4 ml, solution injectable
0;ARNICA MONTANA FERRIER, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;EPIRUBICINE MEDAC 2 mg/ml, solution pour perfusion
1;PANTOPRAZOLE|20 mg;PANTOPRAZOLE EG 20 mg, comprimé gastro-résistant
1;PREDNISOLONE|20 mg;PREDNISOLONE SANDOZ 20 mg, comprimé effervescent sécable
0;DILTIAZEM BGR LP 200 mg, gélule à libération prolongée
0;RATANHIA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
0;XTANDI 40 mg, capsule molle
1;ACIDE ACÉTYLSALICYLIQUE|500 mg;ASPEGIC INJECTABLE 500 mg/5 ml, poudre et solution pour usage parentéral
0;BOCOUTURE 50 unités, poudre pour solution injectable
0;BROMAZEPAM EG 6 mg, comprimé quadrisécable
0;CACTUS GRANDIFLORUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;QUÉTIAPINE|400 mg;QUETIAPINE CRISTERS LP 400 mg, comprimé à libération prolongée
0;ACETYLCYSTEINE ARROW 200 mg, comprimé effervescent
0;EUPHYLLINE L.A. 100 mg, gélule à libération prolongée
0;INNOHEP 10 000 UI anti-Xa/0,5 ml, solution injectable en seringue préremplie
0;EVEPAR 2 mg/0,035 mg, comprimé enrobé
0;VITAMINE E MYLAN 500 mg, capsule
0;LORMETAZEPAM ARROW 1 mg, comprimé sécable
0;VALPROATE DE SODIUM ARROW L.P. 500 mg, comprimé pelliculé sécable à libération prolongée
0;PREGABALINE CRISTERS 300 mg, gélule
0;VOLTARENE LP 100 mg, comprimé enrobé à libération prolongée
0;CLARITHROMYCINE ZYDUS 500 mg, comprimé pelliculé
1;GLUCOSAMINE|625 mg;STRUCTOFLEX 625 mg, gélule
1;MÉTHYLPREDNISOLONE|20 mg;SOLUMEDROL 20 mg/2 ml, lyophilisat et solution pour usage parentéral
0;COLLINSONIA CANADENSIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;VALACICLOVIR|500 mg;VALACICLOVIR LBR 500 mg, comprimé pelliculé
3;AMLODIPINE|5 mg;ATORVASTATINE|20 mg;PÉRINDOPRIL|3,40 mg;TRIVERAM 20 mg/5 mg/5 mg, comprimé pelliculé
0;ORFADIN 5 mg, gélule
1;OCTRÉOTIDE|0,100 mg;SANDOSTATINE 100 microgrammes/1 mL, solution injectable/pour perfusion
0;CAPTOPRIL ZYDUS 50 mg, comprimé sécable
1;IRINOTÉCAN|17,33 mg;IRINOTECAN EBEWE 20 mg/ml, solution à diluer pour perfusion
0;CAPTOPRIL TEVA 50 mg, comprimé sécable
0;LEVETIRACETAM ARROW 100 mg/ml, solution buvable
0;RAMIPRIL BIOGARAN 2,5 mg, comprimé sécable
2;CILASTATINE ANHYDRE|500 mg;IMIPÉNEM ANHYDRE|500 mg;IMIPENEM CILASTATINE HOSPIRA FRANCE 500 mg/500 mg, poudre pour solution pour perfusion
0;DESOGESTREL BIOGARAN 75 microgrammes, comprimé pelliculé
1;SENNOSIDES|10,8 mg à 12,5 mg;SANTANE C 6, mélange de plantes pour tisane en sachet-dose
0;VALSARTAN HYDROCHLOROTHIAZIDE ZYDUS 80 mg/12,5 mg, comprimé pelliculé
2;AMLODIPINE|10 mg;PÉRINDOPRIL|3,395 mg;TRIPLIXAM 5 mg/1,25 mg/10 mg, comprimé pelliculé
0;RAMIPRIL EVOLUGEN 10 mg, comprimé sécable
1;ZINC|0,032 mg;OLIGOSTIM ZINC, comprimé
1;ESCITALOPRAM|15 mg;ESCITALOPRAM MYLAN 15 mg, comprimé pelliculé sécable
0;ACETYLCYSTEINE SANDOZ CONSEIL 200 mg, granulés pour solution buvable en sachet-dose
1;DABIGATRAN ÉTEXILATE BASE|75 mg;PRADAXA 75 mg, gélule
0;HEXAMIDINE GILBERT 0,1 POUR CENT, solution pour application cutanée
0;HOMEONORMYL, granules
0;ERCESTOP 2 mg, gélule
0;INSULATARD 100 unités internationales/ml, suspension injectable
0;CARDENSIEL 3,75 mg, comprimé pelliculé sécable
0;TELMISARTAN/HYDROCHLOROTHIAZIDE CRISTERS 80 mg/25 mg, comprimé
0;AURUM METALLICUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
0;PROTOXYDE D'AZOTE MEDICINAL AIR LIQUIDE SANTÉ FRANCE, gaz pour inhalation, pour évaporateur fixe
1;LOSARTAN|45,76 mg;LOSARTAN SANDOZ 50 mg, comprimé pelliculé sécable
2;CLAVULANIQUE (ACIDE)|50 mg;AMOXICILLINE ANHYDRE|500 mg;AUGMENTIN 500 mg/50 mg, poudre pour solution injectable/pour perfusion (IV)
1;RASAGILINE|1 mg;RASAGILINE MYLAN 1mg, comprimé
0;AMIODARONE ALMUS 200 mg, comprimé sécable
0;PRITOR 40 mg, comprimé
1;CISATRACURIUM|5 mg;NIMBEX 5 mg/ml, solution injectable/pour perfusion
0;TRANDOLAPRIL MYLAN 0,5 mg, gélule
0;POLYGYNAX VIRGO, capsule vaginale
0;AVLOCARDYL L.P. 160 mg, gélule à libération prolongée
1;PRASUGREL|10 mg;EFIENT 10 mg, comprimé pelliculé
0;MONICOR L.P. 20 mg, gélule à libération prolongée
1;MONTÉLUKAST|10 mg;MONTELUKAST ACTAVIS 10 mg, comprimé pelliculé
0;EUPRESSYL 30 mg, gélule
0;CELIPROLOL ZYDUS 200 mg, comprimé pelliculé sécable
1;TOFACITINIB|5 mg;XELJANZ 5 mg, comprimé pelliculé
0;DILANTIN 250 mg/5 ml, solution injectable
1;METFORMINE BASE|780 mg;EUCREAS 50 mg/1000 mg, comprimé pelliculé
0;LIPANTHYL 160 mg, comprimé pelliculé
0;RUFOL 100 mg, comprimé
1;PANTOPRAZOLE|40 mg;PANTOPRAZOLE EVOLUGEN 40 mg, comprimé gastro-résistant
0;RISPERIDONE CRISTERS 4 mg, comprimé pelliculé sécable
0;SIMVASTATINE GERDA 40 mg, comprimé pelliculé
0;QUOTANE 0,5 POUR CENT, crème
1;NÉBIVOLOL BASE|5,00 mg;TEMERIT 5 mg, comprimé quadrisécable
1;VENLAFAXINE|50 mg;Venlafaxine Mylan 50 mg, comprimé pelliculé
0;TRAMADOL/PARACETAMOL CRISTERS 37,5 mg/325 mg, comprimé pelliculé
0;REBIF 8,8 microgrammes, solution injectable en seringue préremplie / REBIF 22 microgrammes, solution injectable en seringue préremplie
1;PROMÉTHAZINE|25,000 mg;PHENERGAN 25 mg, comprimé enrobé
1;CLODRONATE DE SODIUM ANHYDRE|520 mg;LYTOS 520 mg, comprimé pelliculé
1;THÉOPHYLLINE ANHYDRE|100 mg;THEOSTAT 100 mg A LIBERATION PROLONGEE, comprimé sécable
0;OCTREOSCAN, poudre et solution pour injection
0;PARACETAMOL/VITAMINE C/PHENIRAMINE MYLAN CONSEIL SANS SUCRE 500 mg/200 mg/25 mg, poudre pour solution buvable en sachet édulcorée à l’aspartam
0;DOMPERIDONE BIOGARAN 10 mg, comprimé pelliculé
0;ENALAPRIL MYLAN 5 mg, comprimé sécable
0;MAGNESIA MURIATICA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;NITRIDERM TTS 15 mg/24 h, dispositif transdermique
0;BISOPROLOL ACTAVIS 5 mg, comprimé sécable
1;SAXAGLIPTINE|5 mg;ONGLYZA 5 mg, comprimé pelliculé
0;LAPPA MAJOR BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
2;DORZOLAMIDE|20,000 mg;TIMOLOL BASE|5,000 mg;DORZOLAMIDE/TIMOLOL BGR 20 mg/mL + 5 mg/mL, collyre en solution
0;ROXITHROMYCINE ZYDUS 150 mg, comprimé pelliculé
0;ALUMINA BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
0;RITALINE L.P. 40 mg, gélule à libération prolongée
1;CLOPIDOGREL|75 mg;CLOPIDOGREL BIPHAR 75 mg, comprimé pelliculé
0;FERVEXRHUME, comprimé pelliculé
0;FLECAINIDE ZENTIVA LP 200 mg, gélule à libération prolongée
0;ARTEMISIA VULGARIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;REBIF 8,8 microgrammes, solution injectable en stylo prérempli / REBIF 22 microgrammes, solution injectable en stylo prérempli
0;ELOCTA 500 UI, poudre et solvant pour solution injectable
0;ROPIVACAINE KABI 5 mg/ml, solution injectable en ampoule
0;OFLOXACINE CRISTERS 200 mg, comprimé pelliculé sécable
0;LEVEMIR PENFILL 100 Unités/ml, solution injectable en cartouche
0;EPITOMAX 25 mg, gélule
0;TIORFAN 30 mg ENFANTS, poudre orale en sachet-dose
0;TAMSULOSINE MYLAN L.P. 0,4 mg, gélule à libération prolongée
1;MÉFLOQUINE|250 mg;LARIAM 250 mg, comprimé sécable
0;LAMIVUDINE MYLAN 300 mg, comprimé pelliculé
0;BROMAZEPAM TEVA 6 mg, comprimé quadrisécable
0;BECILAN 250 mg, comprimé sécable
0;EZETIMIBE/SIMVASTATINE TEVA 10 mg/40 mg, comprimé
1;DASABUVIR|250 mg;EXVIERA 250 mg, comprimé pelliculé
0;PERGOVERIS (300 UI + 150 UI)/0,48 mL, solution injectable en stylo prérempli
0;SOTALOL EG 160 mg, comprimé sécable
1;ÉSOMÉPRAZOLE|20 mg;ESOMEPRAZOLE ACTAVIS 20 mg, gélule gastro-résistante
0;COZAAR 50 mg, comprimé pelliculé
0;ENANTONE L.P. 3,75 mg, poudre et solvant pour suspension injectable (S.C. ou I.M.) à libération prolongée
1;NICOTINE|4 mg;NICOTINE EG MENTHE 4 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée à l'acésulfame potassique et à la saccharine
0;TRUXIMA 500 mg, solution à diluer pour perfusion
0;INDAPAMIDE RANBAXY LP 1,5 mg, comprimé pelliculé à libération prolongée
1;PANTOPRAZOLE|40 mg;PANTOPRAZOLE ZENTIVA 40 mg, comprimé gastro-résistant
0;COLCHIMAX, comprimé pelliculé sécable
0;FLAVAN 60 mg, comprimé
0;GAVISCONPRO MENTHE, suspension buvable en sachet
1;SITAGLIPTINE|100 mg;JANUVIA 100 mg, comprimé pelliculé
1;CEFTRIAXONE BASE|1000 mg;CEFTRIAXONE ZENTIVA 1 g/10 ml, poudre et solvant pour solution injectable (IV)
1;CLINDAMYCINE BASE|900 mg;DALACINE 900 mg, solution injectable
0;KANUMA 2 mg/ml,solution à diluer pour perfusion
0;BUXUS SEMPERVIRENS BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
1;FENTANYL|800 microgrammes;EFFENTORA 800 microgrammes, comprimé gingival
0;PROTEXEL 50 UI/ml, poudre et solvant pour solution injectable
2;LYSINE|7,95 g;CYSTÉINE|0,37 g;AMINOPLASMAL 25, solution pour perfusion
0;CONVALLARIA MAJALIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;LEVETIRACETAM ZENTIVA LAB 500 mg, comprimé pelliculé
0;FLUCONAZOLE EVOLUGEN 50 mg, gélule
1;CEFTRIAXONE BASE|1 g;CEFTRIAXONE TEVA SANTE 1 g/10 mL, poudre et solvant pour solution injectable (IV)
1;SALBUTAMOL|0,5 mg;SALBUMOL 0,5 mg/1 ml, solution injectable
0;QLAIRA, comprimé pelliculé
1;TÉNOFOVIR ALAFÉNAMIDE|10 mg;GENVOYA 150 mg/150 mg/200 mg/10 mg, comprimé pelliculé
1;PITOLISANT|17,8 mg;WAKIX 18 mg, comprimé pelliculé
0;CAPTOPRIL TEVA 25 mg, comprimé quadrisécable
0;ACTIVOX MAUX DE GORGE ERYSIMUM AROME MIEL CITRON SANS SUCRE, pastille édulcorée au sorbitol
0;BRULEX, pommade
1;IODE|30,0 g;OPTIRAY 300 (300 mg l/mL), solution injectable en flacon
0;ATENOLOL RPG 50 mg, comprimé sécable
0;CHOLURSO 250 mg, comprimé pelliculé
0;ADRIBLASTINE 10 mg, poudre pour solution injectable en flacon
0;DOMPERIDONE MYLAN 10 mg, comprimé pelliculé
1;CEFPODOXIME|100,00 mg;CEFPODOXIME ALMUS 100 mg, comprimé pelliculé
0;NOVACETOL (ASPIRINE PARACETAMOL), comprimé
0;TRIMEBUTINE CRISTERS 200 mg, comprimé
0;BIAFINE, émulsion pour application cutanée
0;VENCLYXTO 10 mg, comprimé pelliculé
0;FENTANYL BGR 25 microgrammes/heure, dispositif transdermique
0;AMISULPRIDE ARROW 200 mg, comprimé sécable
0;UN-ALFA 2 microgrammes/1 ml, solution injectable IV en ampoule
0;PROGLICEM 25 mg, gélule
