comprimé;1;CITRATE DE FENTANYL;ACTIQ 800 microgrammes, comprimé avec applicateur buccal
comprimé pelliculé à libération prolongée;1;INDAPAMIDE HÉMIHYDRATÉ;INDAPAMIDE ZENTIVA LP 1,5 mg, comprimé pelliculé à libération prolongée
comprimé;1;ACIDE FOLIQUE;ACIDE FOLIQUE MYLAN 5 mg, comprimé
comprimé pelliculé;1;RILUZOLE;RILUZOLE SANDOZ 50 mg, comprimé pelliculé
gélule à libération prolongée;1;TACROLIMUS MONOHYDRATÉ;ADVAGRAF 0,5 mg, gélule à libération prolongée
pansement adhésif(ve);2;LIDOCAÏNE;PRILOCAÏNE;LIDOCAINE/PRILOCAINE BIOGARAN 5 %, pansement adhésif cutané
solution pour inhalation par nébuliseur;1;IPRATROPIUM (BROMURE D') MONOHYDRATÉ;IPRATROGEN 0,5 mg/2 ml ADULTES, solution pour inhalation par nébuliseur en récipient unidose
poudre pour solution pour perfusion;1;FOSFOMYCINE SODIQUE;FOSFOCINE 4 g IV, poudre pour solution pour perfusion
sirop;1;ALFA-AMYLASE ;DRILL MAUX DE GORGE ALFA AMYLASE 200 U.CEIP/ml, sirop
comprimé;1;LORMÉTAZÉPAM;LORMETAZEPAM ARROW 2 mg, comprimé sécable
comprimé;1;CITRATE DE TAMOXIFÈNE;TAMOXIFENE BIOGARAN 20 mg, comprimé
poudre pour inhalation;2;FUMARATE DE FORMOTÉROL DIHYDRATÉ;DIPROPIONATE DE BÉCLOMÉTASONE;FORMODUAL NEXTHALER 100 microgrammes/6 microgrammes par dose, poudre pour inhalation
solution buvable;1;CHLORHYDRATE D'AMBROXOL;AMBROXOL TEVA CONSEIL 0,6 %, solution buvable
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;IRBÉSARTAN;IRBESARTAN/HYDROCHLOROTHIAZIDE CRISTERS 300 mg/25 mg, comprimé pelliculé
comprimé dispersible;1;LAMOTRIGINE;LAMOTRIGINE MYLAN 25 mg, comprimé dispersible
comprimé pelliculé;1;CHLORHYDRATE DE MÉMANTINE;MEMANTINE ARROW LAB 20 mg, comprimé pelliculé
comprimé;1;ALLOPURINOL;ALLOPURINOL CRISTERS 300 mg, comprimé
comprimé;1;ACICLOVIR;ACICLOVIR RATIOPHARM 200 mg, comprimé
comprimé;2;HYDROCHLOROTHIAZIDE;TELMISARTAN;TELMISARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 80 mg/25 mg, comprimé
granulés pour solution buvable;1;ÉRYTHROMYCINE (ÉTHYLSUCCINATE D');ERYTHROCINE 500 mg, granulés pour solution buvable en sachet-dose
gélule;1;SILODOSINE;UROREC 8 mg, gélule
dispositif;1;FENTANYL;DUROGESIC 25 microgrammes/heure, dispositif transdermique
comprimé pelliculé;1;CITRATE DE SILDÉNAFIL;SILDENAFIL RANBAXY 100 mg, comprimé pelliculé
poudre pour solution injectable;1;PARÉCOXIB SODIQUE;DYNASTAT 40 mg, poudre pour solution injectable
 comprimé et solution(s) et granules et poudre et pommade;1;AGNUS CASTUS POUR PRÉPARATIONS HOMÉOPATHIQUES;AGNUS CASTUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
 comprimé et solution(s) et granules et poudre et pommade;1;ALLIUM URSINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;ALLIUM URSINUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;1;ÉVÉROLIMUS;VOTUBIA 2,5 mg, comprimé
comprimé sécable;1;GLICLAZIDE;GLICLAZIDE BIOGARAN 80 mg, comprimé sécable
comprimé;1;RAMIPRIL;RAMIPRIL KRKA 10 mg, comprimé
gélule;1;CHLORHYDRATE DE LOPÉRAMIDE;IMODIUMCAPS 2 mg, gélule
solution injectable;1;MÉTHOTREXATE DISODIQUE;IMETH 12,5 mg/0,5 ml, solution injectable en seringue préremplie
comprimé pelliculé;1;FINASTÉRIDE;FINASTERIDE ACCORD 5 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;1;COLCHICUM AUTUMNALE POUR PRÉPARATIONS HOMÉOPATHIQUES;COLCHICUM AUTUMNALE LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gélule à libération prolongée;1;THÉOPHYLLINE;XANTHIUM L.P. 400 mg, gélule à libération prolongée
collyre en solution;1;TRAVOPROST;TRAVOPROST SANDOZ 40 microgrammes/mL, collyre en solution
ovule;1;ISOCONAZOLE (NITRATE D');FAZOL G 300 mg, ovule
poudre et  solvant pour solution injectable;1;PALIVIZUMAB ;SYNAGIS 100 mg, poudre et solvant pour solution injectable
collyre en solution;1;FLUORESCÉINE SODIQUE;FLUORESCEINE FAURE 0,5 POUR CENT, collyre en solution en récipient unidose
 comprimé et solution(s) et granules et poudre et pommade;1;FRAXINUS AMERICANA POUR PRÉPARATIONS HOMÉOPATHIQUES;FRAXINUS AMERICANA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution injectable;1;ÉPOÉTINE BÊTA ;NEORECORMON 30 000 UI, solution injectable en seringue préremplie
solution injectable;1;CHLORHYDRATE DE MORPHINE;MORPHINE (CHLORHYDRATE) RENAUDIN 1 mg/ml, solution injectable
comprimé;1;RÉPAGLINIDE;REPAGLINIDE MYLAN PHARMA 0,5 mg, comprimé
comprimé pelliculé;1;GABAPENTINE;NEURONTIN 600 mg, comprimé pelliculé
 crème et solution et granules et poudre;1;URTICA DIOÏCA POUR PRÉPARATIONS HOMÉOPATHIQUES;URTICA DIOICA WELEDA, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
suspension buvable;1;NÉVIRAPINE HÉMIHYDRATÉE;VIRAMUNE 50 mg/5 ml, suspension buvable
solution injectable;1;SODIUM (OXYBATE DE);GAMMA-OH 200 mg/ml, solution injectable (IV)
comprimé sécable;1;PRAVASTATINE SODIQUE;PRAVASTATINE PHR LAB 20 mg, comprimé sécable
 comprimé et solution(s) et granules et poudre et pommade;1;ANTIMONIUM TARTARICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;ANTIMONIUM TARTARICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution et  solution pour dialyse péritonéale;5;CHLORURE DE SODIUM;CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ;GLUCOSE MONOHYDRATÉ;BICARBONATE DE SODIUM;CHLORURE DE CALCIUM DIHYDRATÉ;BICAVERA 4,25 % GLUCOSE, 1,75 mmol/l calcium, solution pour dialyse péritonéale
comprimé pelliculé dispersible;1;AMOXICILLINE TRIHYDRATÉE;AMOXICILLINE ZENTIVA 1 g, comprimé pelliculé dispersible
comprimé enrobé gastro-résistant(e);1;BISACODYL;DULCOLAX 5 mg, comprimé enrobé gastro-résistant
solution injectable;1;INTERFÉRON BÊTA-1A ;REBIF 22 microgrammes/0,5 ml, solution injectable en cartouche
granules et  solution en gouttes en gouttes;1;NUX MOSCHATA POUR PRÉPARATIONS HOMÉOPATHIQUES;NUX MOSCHATA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé sécable;1;CHLORHYDRATE D'OXYBUTYNINE;OXYBUTYNINE EG 5 mg, comprimé sécable
gélule;1;MARRONNIER D'INDE (ÉCORCE DE) (EXTRAIT SEC D');ELUSANES MARRONNIER D'INDE, gélule
poudre et  solvant pour solution injectable;1;OCTOCOG ALFA ;KOGENATE BAYER 1000 UI, poudre et solvant pour solution injectable
comprimé;1;ACARBOSE;ACARBOSE ARROW LAB 100 mg, comprimé
comprimé sécable;1;RAMIPRIL;RAMIPRIL TEVA SANTE 10 mg, comprimé sécable
comprimé pelliculé;1;IRBÉSARTAN;IRBESARTAN ACCORD 150 mg, comprimé pelliculé
comprimé sécable;1;GRISÉOFULVINE;GRISEFULINE 500 mg, comprimé sécable
gélule;1;POMALIDOMIDE;IMNOVID 3 mg, gélule
solution injectable pour perfusion;1;BÉSILATE DE CISATRACURIUM;CISATRACURIUM MYLAN 5 mg/ml, solution injectable/pour perfusion
dispositif;1;NICOTINE;NIQUITIN 14 mg/24 heures, dispositif transdermique
comprimé sécable;1;ATÉNOLOL;ATENOLOL EG 100 mg, comprimé sécable
comprimé;1;ACÉTYLSALICYLIQUE (ACIDE);ASPIRINE DU RHÔNE 500 mg, comprimé
solution injectable;1;DARBÉPOÉTINE ALFA ;ARANESP 100 microgrammes, solution injectable en seringue préremplie
comprimé gastro-résistant(e);1;PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ;PANTOPRAZOLE ISOMED 20 mg, comprimé gastro-résistant
lyophilisat pour usage parentéral;1;SPIRAMYCINE (ADIPATE DE);ROVAMYCINE 1,5 MILLIONS D'UNITES INTERNATIONALES, lyophilisat pour usage parentéral
capsule molle;1;TRIGLYCÉRIDES D'ACIDES OMÉGA-3 ;TRIGLISTAB, capsule molle
poudre pour solution à diluer pour perfusion;1;SILTUXIMAB ;SYLVANT 100 mg, poudre pour solution à diluer pour perfusion
comprimé;1;CITRATE DE FENTANYL;EFFENTORA 400 microgrammes, comprimé gingival
gélule;1;ARTICHAUT (FEUILLE D') (EXTRAIT SEC DE);ARKOGELULES ARTICHAUT, gélule
comprimé enrobé;1;OLANZAPINE;OLANZAPINE CRISTERS 10 mg, comprimé enrobé
gélule;1;MÉTOPIMAZINE;VOGALENE 15 mg, gélule
collyre;1;INOSINE PHOSPHATE DISODIQUE DIHYDRATÉ;CATACOL 0,1 POUR CENT, collyre
gélule à libération prolongée;1;THÉOPHYLLINE;EUPHYLLINE L.A. 50 mg, gélule à libération prolongée
comprimé;1;DISULFIRAME;ESPERAL 500 mg, comprimé
suspension injectable;1;INSULINE ASPARTE ISOPHANE BIPHASIQUE ;NOVOMIX 30 PENFILL 100 Unités/ml, suspension injectable en cartouche
comprimé pelliculé;1;ATORVASTATINE CALCIQUE TRIHYDRATÉE;ATORVASTATINE EVOLUGEN PHARMA 20 mg, comprimé pelliculé
comprimé pelliculé;1;MIRTAZAPINE;MIRTAZAPINE SANDOZ 15 mg, comprimé pelliculé
gélule;1;AMOXICILLINE TRIHYDRATÉE;AMOXICILLINE CRISTERS 500 mg, gélule
gélule;1;ACIDE CHOLIQUE;KOLBAM 50 mg, gélule
comprimé pelliculé;1;CHLORHYDRATE DE ROPINIROLE;ROPINIROLE MYLAN 5 mg, comprimé pelliculé
comprimé pelliculé;1;IRBÉSARTAN;IRBESARTAN ALTER 300 mg, comprimé pelliculé
poudre et  solvant pour solution injectable;1;PEGINTERFÉRON ALFA-2B ;VIRAFERONPEG 120 microgrammes, poudre et solvant pour solution injectable en stylo prérempli
 comprimé et solution(s) et granules et poudre et pommade;1;ACONITUM FEROX POUR PRÉPARATIONS HOMÉOPATHIQUES;ACONITUM FEROX BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
poudre et  solvant pour solution injectable;1;NONACOG ALFA ;BENEFIX 2000 UI, poudre et solvant pour solution injectable
gélule;1;PIROXICAM;PIROXICAM TEVA 20 mg, gélule
comprimé;1;FUMARATE DE BISOPROLOL;BISOPROLOL EG 1,25 mg, comprimé pelliculé
gélule;1;PENTOSANE POLYSULFATE SODIQUE;ELMIRON 100 mg, gélule
solution pour application;1;ACIDE SALICYLIQUE;SANITOS 11 g/100 g, solution pour application cutanée
gel;1;TESTOSTÉRONE;ANDROGEL 16,2 mg/g, gel
comprimé pelliculé;1;BÉSILATE DE CLOPIDOGREL;CLOPIDOGREL ISOMED 75 mg, comprimé pelliculé
comprimé;1;CHLORHYDRATE DE QUINAGOLIDE;NORPROLAC 75 microgrammes, comprimé
 comprimé et solution(s) et granules et poudre et pommade;1;AMMONIUM MURIATICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;AMMONIUM MURIATICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;IRBÉSARTAN;IRBESARTAN/HYDROCHLOROTHIAZIDE EVOLUGEN 150 mg/12,5 mg, comprimé pelliculé
comprimé pelliculé;1;AZITHROMYCINE DIHYDRATÉE;AZITHROMYCINE PHR LAB 250 mg, comprimé pelliculé
comprimé orodispersible;1;LANSOPRAZOLE;LANSOPRAZOLE ARROW 15 mg, comprimé orodispersible
comprimé pelliculé;1;RALTÉGRAVIR POTASSIQUE;ISENTRESS 600 mg, comprimé pelliculé
poudre pour suspension buvable;1;AMOXICILLINE TRIHYDRATÉE;AMOXICILLINE ARROW 250 mg/5 ml, poudre pour suspension buvable
 comprimé et solution(s) et granules et poudre et pommade;1;IRIS VERSICOLOR POUR PRÉPARATIONS HOMÉOPATHIQUES;IRIS VERSICOLOR BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;1;SODIUM (FUSIDATE DE);FUSIDATE DE SODIUM MYLAN 250 mg, comprimé pelliculé
poudre et  solvant pour solution injectable;1;CEFTRIAXONE SODIQUE;CEFTRIAXONE RPG 1 g/3,5 ml, poudre et solvant pour solution injectable (IM)
solution injectable;1;LÉVOFOLINATE CALCIQUE PENTAHYDRATÉ;LEVOFOLINATE DE CALCIUM ZENTIVA 10 mg/ml, solution injectable (IM/IV)
solution à diluer pour perfusion;1;CHLORHYDRATE DE TOPOTÉCANE;TOPOTECAN HOSPIRA 4 mg/4ml, solution à diluer pour perfusion
comprimé enrobé;5;NICOTINAMIDE;AUBÉPINE (SOMMITÉ FLEURIE D') (EXTRAIT SEC DE);ACIDE ASCORBIQUE;CHLORHYDRATE DE PYRIDOXINE;NITRATE DE THIAMINE;NICOPRIVE, comprimé enrobé
comprimé;2;PÉRINDOPRIL TERT-BUTYLAMINE;INDAPAMIDE;PERINDOPRIL/INDAPAMIDE RATIOPHARM 4 mg/1,25 mg, comprimé
granules et  solution en gouttes en gouttes;1;BAMBUSA POUR PRÉPARATIONS HOMÉOPATHIQUES;BAMBUSA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;2;HYDROCHLOROTHIAZIDE;CANDÉSARTAN CILEXÉTIL;CANDESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 16 mg/12,5 mg, comprimé
comprimé pelliculé;1;DESLORATADINE;DESLORATADINE ARROW 5 mg, comprimé pelliculé
granules et  poudre et  solution en gouttes en gouttes;1;ARGENTUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;ARGENTUM NITRICUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;1;LORATADINE;LORATADINE EG 10 mg, comprimé
comprimé pelliculé;1;CLARITHROMYCINE;CLARITHROMYCINE BIOGARAN 250 mg, comprimé pelliculé
comprimé pelliculé;1;CHLORHYDRATE DE NARATRIPTAN;NARAMIG 2,5 mg, comprimé pelliculé
film orodispersible;1;CITRATE DE SILDÉNAFIL;XYBILUN 50 mg, film orodispersible
solution injectable;1;INTERFÉRON BÊTA-1A ;AVONEX 30 microgrammes/0,5 ml, solution injectable, en stylo prérempli
poudre pour solution pour perfusion;2;PIPÉRACILLINE SODIQUE;TAZOBACTAM SODIQUE;PIPERACILLINE/TAZOBACTAM KABI 4 g/500 mg, poudre pour solution pour perfusion
comprimé pelliculé;1;CHLORHYDRATE DE METFORMINE;METFORMINE RANBAXY 500 mg, comprimé pelliculé
gélule gastro-résistant(e);1;ÉSOMÉPRAZOLE MAGNÉSIQUE DIHYDRATÉ;ESOMEPRAZOLE MYLAN CONSEIL 20 mg, gélule gastro-résistante
comprimé;1;FUMARATE DE BISOPROLOL;BISOPROLOL RANBAXY 3,75 mg, comprimé
crème;2;LIDOCAÏNE;PRILOCAÏNE;LIDOCAINE/PRILOCAINE ZENTIVA 5 %, crème
solution injectable;1;IODIXANOL;VISIPAQUE 270 mg d'I/ml, solution injectable
comprimé pelliculé;1;VANDÉTANIB;CAPRELSA 300 mg, comprimé pelliculé
comprimé pelliculé sécable;1;CHLORHYDRATE DE CIPROFLOXACINE;CIPROFLOXACINE BIOGARAN 500 mg, comprimé pelliculé sécable
comprimé pelliculé;1;MÉSILATE D'IMATINIB;IMATINIB EG 400 mg, comprimé pelliculé
solution pour perfusion;1;LÉVOFLOXACINE HÉMIHYDRATÉE;TAVANIC 5 mg/ml, solution pour perfusion
comprimé pelliculé;1;DIOSMINE;DIOSMINE BIOGARAN CONSEIL 300 mg, comprimé pelliculé
comprimé pelliculé sécable;1;RISPÉRIDONE;RISPERIDONE ZYDUS 1 mg, comprimé pelliculé sécable
comprimé pelliculé sécable;1;FLUVOXAMINE (MALÉATE DE);FLUVOXAMINE ARROW 50 mg, comprimé pelliculé sécable
poudre pour solution injectable;1;CEFTAZIDIME PENTAHYDRATÉE;FORTUM 500 mg ENFANTS ET NOURRISSONS, poudre pour solution injectable (IM, IV)
comprimé pelliculé;1;OLANZAPINE;OLANZAPINE EVOLUGEN 5 mg, comprimé pelliculé
poudre pour inhalation;1;DIPROPIONATE DE BÉCLOMÉTASONE;BEMEDREX EASYHALER 200 microgrammes/dose, poudre pour inhalation
poudre pour application;1;NITRATE D'ÉCONAZOLE;ECONAZOLE RPG 1 POUR CENT, poudre pour application cutanée
comprimé;2;CHOLÉCALCIFÉROL (CONCENTRAT DE), FORME PULVÉRULENTE;ALENDRONATE MONOSODIQUE TRIHYDRATÉ;ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/5 600 UI, comprimé
poudre et  solvant pour suspension injectable;1;VIRUS VARICELLE-ZONA SOUCHE OKA/MERCK (VIVANT, ATTÉNUÉ) ;ZOSTAVAX, poudre et solvant pour suspension injectable en seringue préremplie. Vaccin zona (vivant).
poudre pour solution injectable ou pour perfusion;1;MÉROPÉNEM TRIHYDRATÉ;MEROPENEM KABI 1 g, poudre pour solution injectable ou pour perfusion
collyre en solution;1;PILOCARPINE (CHLORHYDRATE DE);ISOPTO PILOCARPINE 2 POUR CENT, collyre
vernis à ongles médicamenteux(se);1;CHLORHYDRATE D'AMOROLFINE;LOCERYL 5 %, vernis à ongles médicamenteux
poudre pour solution injectable;1;CÉFÉPIME (DICHLORHYDRATE DE) MONOHYDRATÉ;CEFEPIME GERDA 1 g, poudre pour solution injectable (IM/IV)
comprimé;1;FUROSÉMIDE;LASILIX FAIBLE 20 mg, comprimé
comprimé;1;DESMOPRESSINE (ACÉTATE DE) TRIHYDRATÉ;MINIRIN 0,2 mg, comprimé
comprimé pelliculé;1;CHLORHYDRATE DE METFORMINE;METFORMINE ZYDUS 500 mg, comprimé pelliculé
solution injectable;1;GLUCOSE MONOHYDRATÉ;GLUCOSE 10 % PROAMP, solution injectable
comprimé pelliculé;1;VALSARTAN;VALSARTAN ALTER 80 mg, comprimé pelliculé
granulés à libération prolongée;2;SODIUM (VALPROATE DE);ACIDE VALPROÏQUE;MICROPAKINE L.P. 100 mg, granulés à libération prolongée en sachet-dose
comprimé pelliculé;1;TADALAFIL;TADALAFIL CRISTERS 20 mg, comprimé pelliculé
collyre en solution;1;SODIUM (N-ACÉTYL L-ASPARTYL L-GLUTAMATE DE);NAAXIAFREE 4,9 %, collyre en solution
solution buvable en gouttes;1;CALCIFÉDIOL MONOHYDRATÉ;DEDROGYL 15 mg/ 100 ml, solution buvable en gouttes
solution buvable;1;EXTRAIT SEC RAFFINÉ ET QUANTIFIÉ DE GINKGO;TANAKAN 40 mg/ml, solution buvable
comprimé pelliculé et  comprimé pelliculé;2;GESTODÈNE;ÉTHINYLESTRADIOL;GESTODENE/ETHINYLESTRADIOL EG 60 microgrammes/15 microgrammes, comprimé pelliculé
comprimé;1;PRAMIPEXOLE (DICHLORHYDRATE DE) MONOHYDRATÉ;OPRYMEA 0,18 mg, comprimé
comprimé pelliculé sécable;1;LOSARTAN POTASSIQUE;LOSARTAN TEVA 50 mg, comprimé pelliculé sécable
ovule à libération prolongée;1;NITRATE D'ÉCONAZOLE;ECONAZOLE BIOGARAN L.P. 150 mg, ovule à libération prolongée
comprimé pelliculé;1;TADALAFIL;ADCIRCA 20 mg, comprimé pelliculé
gélule à libération prolongée;1;CHLORHYDRATE DE VENLAFAXINE;VENLAFAXINE ARROW LP 75 mg, gélule à libération prolongée
suspension buvable;1;MÉTRONIDAZOLE (BENZOATE DE);FLAGYL 4 POUR CENT, suspension buvable
comprimé;1;CANDÉSARTAN CILEXÉTIL;CANDESARTAN HCS 32 mg, comprimé
comprimé gastro-résistant(e);1;RABÉPRAZOLE SODIQUE;RABEPRAZOLE BIOGARAN 20 mg, comprimé gastro-résistant
comprimé pelliculé;1;MÉSILATE D'IMATINIB;IMATINIB ARROW LAB 400 mg, comprimé pelliculé
solution pour inhalation par nébuliseur;1;ILOPROST TROMÉTAMOL;VENTAVIS 10 microgrammes/ml, solution pour inhalation par nébuliseur
solution moussant(e);5;LAURYLSULFATE DE SODIUM;SODIUM (PROPIONATE DE);ACIDE SALICYLIQUE;OXYQUINOL;ACIDE TARTRIQUE;DERMACIDE, solution moussante
solution pour dialyse péritonéale;5;(S)-LACTATE DE SODIUM;ICODEXTRINE;CHLORURE DE SODIUM;CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ;CHLORURE DE CALCIUM DIHYDRATÉ;EXTRANEAL, solution pour dialyse péritonéale
comprimé pelliculé;1;ROSUVASTATINE CALCIQUE;ROSUVASTATINE SANDOZ 5 mg, comprimé pelliculé
poudre pour solution injectable;1;CEFTAZIDIME PENTAHYDRATÉE;CEFTAZIDIME AGUETTANT 1 g, poudre pour solution injectable (IM, IV)
gélule;1;CHLORHYDRATE DE FINGOLIMOD;GILENYA 0,5 mg, gélule
comprimé pelliculé sécable;1;CHLORHYDRATE DE MIANSÉRINE;MIANSERINE ZENTIVA 60 mg, comprimé pelliculé sécable
sirop;2;EXTRAIT SEC D'ÉRYSIMUM;CODÉINE;EUPHON, sirop
comprimé;2;MAGNÉSIUM (CARBONATE DE) LOURD;CARBONATE DE CALCIUM;RENNIE, comprimé
