gélule;1;PASSIFLORE (POUDRE DES PARTIES AÉRIENNES DE)
capsule molle;1;DUTASTÉRIDE
gélule;1;CHLORHYDRATE DE SERTRALINE
comprimé;1;PHOSPHATE D'ADÉNOSINE MONOHYDRATÉ
 comprimé et solution(s) et granules et poudre et pommade;1;CUPRUM SULFURICUM POUR PRÉPARATIONS HOMÉOPATHIQUES
comprimé;1;HEPTAMINOL (CHLORHYDRATE D')
comprimé pelliculé sécable;1;AZATHIOPRINE
comprimé pelliculé;1;MALÉATE DE TÉNOFOVIR DISOPROXIL
poudre;1;BÉTAÏNE
solution injectable;1;ACÉTATE DE GLATIRAMÈRE
 solution et granules et poudre et pommade;1;ANTIMONIUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES
pastille;4;ASCORBATE DE SODIUM;CHLORURE DE CÉTYLPYRIDINIUM;ACIDE ASCORBIQUE;CHLORHYDRATE DE LIDOCAÏNE
collyre;1;ATROPINE (SULFATE D')
poudre pour solution pour perfusion;1;AMSACRINE
 comprimé et solution(s) et granules et poudre et pommade;1;MERCURIUS CYANATUS POUR PRÉPARATIONS HOMÉOPATHIQUES
sirop;2;GRINDÉLIA (TEINTURE DE);CHLORHYDRATE D'ÉTHYLMORPHINE
émulsion pour application;1;MÉTRONIDAZOLE
capsule molle;1;ESTERS ÉTHYLIQUES 90 D'ACIDES OMÉGA-3 
solution injectable et buvable;1;CAFÉINE (CITRATE DE)
mélange de plantes pour tisane;1;SÉNÉ (FEUILLE DE)
 comprimé et solution(s) et granules et poudre et pommade;1;CHAMOMILLA VULGARIS POUR PRÉPARATIONS HOMÉOPATHIQUES
comprimé sécable;1;CHLORHYDRATE DE VENLAFAXINE
poudre pour solution injectable;1;PANTOPRAZOLE SODIQUE ANHYDRE
comprimé effervescent(e) sécable;2;ACÉTYLSALICYLIQUE (ACIDE);CAFÉINE
 comprimé et solution(s) et granules et poudre et pommade;1;ANTIMONIUM IODATUM POUR PRÉPARATIONS HOMÉOPATHIQUES
gélule;1;OXALATE ACIDE DE NAFTIDROFURYL
 comprimé et solution(s) et granules et poudre et pommade;1;COFFEA TOSTA POUR PRÉPARATIONS HOMÉOPATHIQUES
pommade;1;HYDROCORTISONE (BUTYRATE D')
solution pour perfusion;1;CHLORHYDRATE D'APOMORPHINE
solution buvable;1;PROPÉRICIAZINE
gélule;1;CHLORHYDRATE DE MEXILÉTINE
 comprimé et solution(s) et granules et poudre et pommade;1;LONICERA CAPRIFOLIUM POUR PRÉPARATIONS HOMÉOPATHIQUES
solution buvable ou;2;AMIDOTRIZOATE DE SODIUM;AMIDOTRIZOATE DE MÉGLUMINE
solution injectable;1;PIROXICAM
poudre pour solution injectable;1;PYROPHOSPHATE DE SODIUM DÉCAHYDRATÉ
crème;1;CHLORHYDRATE DE QUINISOCAÏNE
solution pour pulvérisation;2;HEXAMIDINE (DIISÉTIONATE D');CHLORHYDRATE DE LIDOCAÏNE
solution injectable pour perfusion;1;CHLORHYDRATE DE DOXORUBICINE
granules et  solution en gouttes en gouttes;1;SABAL SERRULATA POUR PRÉPARATIONS HOMÉOPATHIQUES
comprimé pelliculé;1;DASATINIB MONOHYDRATÉ
gélule;1;REINE DES PRES (SOMMITES FLEURIES DE) (POUDRE DE)
 comprimé et solution(s) et granules et poudre et pommade;1;CUPRUM ACETICUM POUR PRÉPARATIONS HOMÉOPATHIQUES
comprimé;1;KÉTOPROFÈNE
 comprimé et solution(s) et granules et poudre et pommade;1;CLEMATIS VITALBA POUR PRÉPARATIONS HOMÉOPATHIQUES
poudre pour solution à diluer pour perfusion;1;INFLIXIMAB 
comprimé enrobé;1;ACIDE PARA-AMINOBENZOÏQUE
poudre et  solvant pour solution injectable;1;ENFUVIRTIDE
solution à diluer pour perfusion;1;ÉCULIZUMAB 
comprimé;1;CLOMIFÈNE (CITRATE DE)
granulés à libération prolongée;2;SODIUM (VALPROATE DE);ACIDE VALPROÏQUE
sirop;8;SOLUTION DE SACCHAROSE;ORANGER (FLEUR D') (EAU DISTILLÉE DE);ALCOOLAT DE GARRUS;SAFRAN (TEINTURE DE);VANILLE (TEINTURE DE);CAPILLAIRE (EXTRAIT FLUIDE DE);TERPINE (HYDRATE DE);CODÉINE
solution buvable gouttes;1;ZUCLOPENTHIXOL (DICHLORHYDRATE DE)
comprimé enrobé;1;SIROLIMUS
gélule;2;PARACÉTAMOL;POUDRE D'OPIUM
poudre et  solvant pour solution injectable;1;POLYOSIDE HAEMOPHILUS INFLUENZAE TYPE B CONJUGUÉ À L'ANATOXINE TÉTANIQUE
solution buvable;1;FUMARATE DE RUPATADINE
 comprimé et solution(s) et granules et poudre et pommade;1;MAGNESIA CARBONICA POUR PRÉPARATIONS HOMÉOPATHIQUES
comprimé;1;MIFÉPRISTONE
comprimé enrobé;1;PIPÉMIDIQUE (ACIDE) TRIHYDRATÉ
solution buvable;2;MANGANÈSE (GLUCONATE DE);CUIVRE (GLUCONATE DE)
poudre et  dispersion et  solvant pour solution à diluer pour dispersion pour perfusion;1;CHLORHYDRATE DE DOXORUBICINE
gel;1;ESTRIOL
solution buvable;1;CHLORHYDRATE D'AMBROXOL
poudre effervescent(e) pour suspension buvable;1;HYDROXYDE DE MAGNÉSIUM
crème;3;ACIDE SALICYLIQUE;N-ÉTHYL ÉTHYLAMINE;MYRTÉCAÏNE
comprimé à sucer;1;BITARTRATE DE NICOTINE DIHYDRATÉ
collyre;1;FLURBIPROFÈNE SODIQUE DIHYDRATÉ
comprimé pelliculé;2;CARBONATE DE CALCIUM;CHOLÉCALCIFÉROL
gélule;3;TROXÉRUTINE;HEPTAMINOL (CHLORHYDRATE D');GINKGO (EXTRAIT DE)
comprimé;1;PHÉNOBARBITAL
comprimé pelliculé;1;FLUVOXAMINE (MALÉATE DE)
comprimé pelliculé sécable;1;FUMARATE D'OXÉTORONE
solution pour pulvérisation;1;SODIUM (CROMOGLICATE DE)
poudre pour solution injectable ou pour perfusion;1;CHLORHYDRATE DE RÉMIFENTANIL
comprimé à sucer;6;HISTAMINUM MURIATICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SABADILLA POUR PRÉPARATIONS HOMÉOPATHIQUES;ALLIUM CEPA POUR PRÉPARATIONS HOMÉOPATHIQUES;SOLIDAGO VIRGA AUREA POUR PRÉPARATIONS HOMÉOPATHIQUES;EUPHRASIA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;AMBROSIA ARTEMISIAEFOLIA POUR PRÉPARATIONS HOMÉOPATHIQUES
poudre pour solution buvable;1;CHLORHYDRATE DE L'ACIDE 5-AMINOLÉVULINIQUE
comprimé effervescent(e);2;ACIDE ASCORBIQUE;ARGININE (ASPARTATE D')
comprimé orodispersible;1;CHLORHYDRATE DE DONÉPÉZIL
comprimé pelliculé;1;MALÉATE DE TRIMÉBUTINE
solution buvable;2;MAGNÉSIUM (THIOSULFATE DE);THIOSULFATE DE SODIUM
comprimé pelliculé sécable;1;PRAVASTATINE SODIQUE
comprimé pelliculé;1;RITONAVIR
comprimé pelliculé à libération prolongée;1;KETOTIFÈNE (FUMARATE DE)
comprimé pelliculé;1;BROMHYDRATE D'ÉLÉTRIPTAN
granulés;1;OSCILLOCOCCINUM POUR PRÉPARATIONS HOMÉOPATHIQUES
suppositoire;3;CINÉOLE;GUAÏFÉNÉSINE;CAMPHRE RACÉMIQUE
comprimé pelliculé;1;DESLORATADINE
comprimé enrobé;1;CHLORHYDRATE DE BAMIFYLLINE
suspension pour injection;1;CITRATE D'YTTRIUM [90 Y]
gélule;2;AVOCAT (HUILE D') (FRACTION INSAPONIFIABLE D');SOJA (HUILE DE) (FRACTION INSAPONIFIABLE D')
collyre;1;DEXAMÉTHASONE
 comprimé et solution(s) et granules et poudre et pommade;1;ABIES NIGRA POUR PRÉPARATIONS HOMÉOPATHIQUES
solution pour inhalation par nébuliseur;1;SODIUM (CROMOGLICATE DE)
poudre pour solution pour perfusion;1;OMÉPRAZOLE
solution pour application;1;PODOPHYLLOTOXINE
comprimé pelliculé;1;DEXKÉTOPROFÈNE TROMÉTAMOL
solvant et solution et poudre(s) pour colle;6;PLASMINOGÈNE HUMAIN ;THROMBINE HUMAINE ;FACTEUR XIII DE COAGULATION HUMAIN ;FIBRONECTINE;FIBRINOGÈNE HUMAIN ;APROTININE 
solution buvable;1;MÉTOPIMAZINE
comprimé sécable;1;GRISÉOFULVINE
 comprimé et solution(s) et granules et poudre et pommade;1;GLYCERINUM POUR PRÉPARATIONS HOMÉOPATHIQUES
 comprimé et solution(s) et granules et poudre et pommade;1;SOLIDAGO VIRGA AUREA POUR PRÉPARATIONS HOMÉOPATHIQUES
 comprimé et solution(s) et granules et poudre et pommade;1;VISCUM ALBUM POUR PRÉPARATIONS HOMÉOPATHIQUES
granulés enrobé;1;LÉVÉTIRACÉTAM
suspension injectable;3;ANTIGÈNES DE SURFACE DU VIRUS DE LA GRIPPE, INACTIVÉ, SOUCHE A/MICHIGAN/45/2015 ;ANTIGÈNES DE SURFACE DE VIRUS DE LA GRIPPE, INACTIVÉ, SOUCHE B/COLORADO/06/2017 ;ANTIGÈNES DE SURFACE DE VIRUS DE LA GRIPPE, INACTIVÉ, SOUCHE A/SINGAPORE/INFIMH-
comprimé sécable;1;MOLSIDOMINE
comprimé quadrisécable;1;CAPTOPRIL
crème;1;BENZALKONIUM (CHLORURE DE), SOLUTION DE
collyre;3;DEXAMÉTHASONE;SULFATE DE NÉOMYCINE;SULFATE DE POLYMYXINE B
comprimé dispersible;1;CÉFADROXIL MONOHYDRATÉ
comprimé pelliculé;2;MAGNÉSIUM (CITRATE DE) ANHYDRE;CHLORHYDRATE DE PYRIDOXINE
comprimé;1;IRBÉSARTAN
comprimé enrobé;1;DISOPYRAMIDE (PHOSPHATE DE)
gélule;1;CHARBON ACTIVÉ
poudre pour solution injectable;1;PALIFERMINE 
solution buvable;1;ARTICHAUT (FEUILLE D'), EXTRAIT MOU DE
comprimé pelliculé;1;CHLORHYDRATE D'ACÉBUTOLOL
poudre et  solvant pour solution injectable;1;EFMOROCTOCOG ALFA 
poudre pour inhalation en gélule;1;TIOTROPIUM (BROMURE DE) MONOHYDRATÉ
collyre en solution;2;TARTRATE DE BRIMONIDINE;TIMOLOL (MALÉATE DE)
poudre et  solvant pour solution injectable;1;FACTEUR XI DE COAGULATION HUMAIN 
 solution et granules et poudre et pommade;1;HÉMATITE POUR PRÉPARATIONS HOMÉOPATHIQUES
solution injectable;1;BÉSILATE D'ATRACURIUM
capsule molle;1;TRÉTINOÏNE
solution buvable;2;DIHYDROERGOCRYPTINE A (MÉSILATE DE);CAFÉINE
granulés;3;CITRATE MONOPOTASSIQUE ANHYDRE;CITRATE MONOSODIQUE ANHYDRE;ACIDE CITRIQUE MONOHYDRATÉ
gélule;2;MAGNÉSIUM (SULFATE DE) TRIHYDRATÉ;LEVURE
 comprimé et solution(s) et granules et poudre et pommade;1;HELIANTHUS ANNUUS POUR PRÉPARATIONS HOMÉOPATHIQUES
solution injectable;1;PHOSPHATE SODIQUE DE DEXAMÉTHASONE
comprimé;3;COBALT (GLUCONATE DE);ZINC (GLUCONATE DE);NICKEL (GLUCONATE DE)
solution injectable pour perfusion;1;CLODRONATE DE SODIUM TÉTRAHYDRATÉ
comprimé à sucer;1;DICHLORHYDRATE DE CÉTIRIZINE
système de diffusion;1;LÉVONORGESTREL
comprimé sécable;2;RÉSERPINE;BENDROFLUMÉTHIAZIDE
comprimé à croquer;2;MAGNÉSIUM (CARBONATE DE) LOURD;CARBONATE DE CALCIUM
gélule à libération prolongée;1;ACÉTATE DE FLÉCAÏNIDE
 comprimé et solution(s) et granules et poudre et pommade;1;MERCURIUS PROTO-IODATUS POUR PRÉPARATIONS HOMÉOPATHIQUES
comprimé sécable;1;CLONIDINE (CHLORHYDRATE DE)
comprimé quadrisécable;2;SULFADOXINE;PYRIMÉTHAMINE
gélule;1;SPIRONOLACTONE
comprimé pelliculé sécable;1;TARTRATE DE MÉTOPROLOL
comprimé pelliculé sécable;1;LÉVÉTIRACÉTAM
 comprimé et solution(s) et granules et poudre et pommade;1;AETHIOPS MERCURIALIS MINERALIS POUR PRÉPARATIONS HOMÉOPATHIQUES
solution pour perfusion;1;ADÉNOSINE
solution injectable ou pour perfusion;1;IOPAMIDOL
poudre pour inhalation;1;LOXAPINE
comprimé sécable;1;MÉSILATE DE BROMOCRIPTINE
solution injectable;1;TÉTRACOSACTIDE
solution injectable;2;CALCIUM (GLUCOHEPTONATE DE);GLUCONATE DE CALCIUM
gélule;1;PILOSELLE
comprimé pelliculé;3;PÉRINDOPRIL ARGININE;INDAPAMIDE;BÉSILATE D'AMLODIPINE
granulés;1;RHUS TOXICODENDRON POUR PRÉPARATIONS HOMÉOPATHIQUES
suspension injectable à libération prolongée;1;MÉDROXYPROGESTÉRONE (ACÉTATE DE)
comprimé pelliculé;1;ACIDE OBÉTICHOLIQUE
poudre pour solution injectable ou pour perfusion;1;ÉSOMÉPRAZOLE SODIQUE
solution buvable;3;MANGANÈSE (GLUCONATE DE);CUIVRE (GLUCONATE DE);OR COLLOÏDAL
solution buvable;1;ARTICHAUT (EXTRAIT MOU D')
comprimé;1;DIHYDROERGOTAMINE (MÉSILATE DE)
suspension buvable;3;HYDROXYDE D'ALUMINIUM;MONTMORILLONITE BEIDELLITIQUE;HYDROXYDE DE MAGNÉSIUM
comprimé enrobé;2;CLIDINIUM (BROMURE DE);CHLORDIAZÉPOXIDE
solution à diluer pour perfusion;1;COMPLEXE D'HYDROXYDE FERRIQUE - SACCHAROSE
 comprimé et solution(s) et granules et poudre et pommade;1;AVENA SATIVA POUR PRÉPARATIONS HOMÉOPATHIQUES
solution injectable;1;ACÉTATE DE GONADORÉLINE
granules et  crème et  solution en gouttes en gouttes;1;ALLIUM CEPA POUR PRÉPARATIONS HOMÉOPATHIQUES
 comprimé et solution(s) et granules et poudre et pommade;1;CADMIUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES
granules et  solution en gouttes en gouttes;1;AURUM MURIATICUM NATRONATUM POUR PRÉPARATIONS HOMÉOPATHIQUES
granulés pour solution buvable;1;ACÉTYLCYSTÉINE
comprimé pelliculé;2;HYDROGÉNOSULFATE DE CLOPIDOGREL;ACÉTYLSALICYLIQUE (ACIDE)
suspension injectable;8;ANTIGÈNE COQUELUCHEUX : ANATOXINE ;VIRUS POLIOMYÉLITIQUE SOUCHE MEF-1 DE TYPE 2 INACTIVÉ ;VIRUS POLIOMYÉLITIQUE SOUCHE SAUKETT DE TYPE 3 INACTIVÉ ;VIRUS POLIOMYELITIQUE SOUCHE MAHONEY DE TYPE 1 INACTIVÉ ;ANTIGÈNE COQUELUCHEUX : HÉMAGGLUTININE FILAMENTEUSE ;ANATOXINE DIPHTÉRIQUE ;ANATOXINE TÉTANIQUE ;ANTIGÈNE COQUELUCHEUX : PERTACTINE  
comprimé pelliculé;1;CHLORHYDRATE D'IVABRADINE
 comprimé et solution(s) et granules et poudre et pommade;1;BERBERIS AQUIFOLIUM POUR PRÉPARATIONS HOMÉOPATHIQUES
comprimé sécable;1;PROBÉNÉCIDE
matrice;2;THROMBINE HUMAINE ;FIBRINOGÈNE HUMAIN 
 comprimé et solution(s) et granules et poudre et pommade;1;ORIGANUM MAJORANA POUR PRÉPARATIONS HOMÉOPATHIQUES
comprimé orodispersible;6;ARGENTUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;COCCULUS INDICUS POUR PRÉPARATIONS HOMÉOPATHIQUES;NUX VOMICA POUR PRÉPARATIONS HOMÉOPATHIQUES;SEPIA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;TABACUM POUR PRÉPARATIONS HOMÉOPATHIQUES;BORAX
solution à diluer pour perfusion;9;MANGANÈSE (GLUCONATE DE);FLUORURE DE SODIUM;CUIVRE (GLUCONATE DE);IODURE DE POTASSIUM;GLUCONATE FERREUX;ZINC (GLUCONATE DE);MOLYBDATE DE SODIUM DIHYDRATÉ;CHLORURE DE CHROME HEXAHYDRATÉ;SÉLÉNITE DE SODIUM
gélule;1;CHLORHYDRATE DE MINOCYCLINE
comprimé sécable;1;LORMÉTAZÉPAM
pastille à sucer;2;RÉGLISSE (EXTRAIT DE) (SEC);LÉVOMENTHOL
pastille;1;DEXTROMÉTHORPHANE BASE
comprimé pelliculé;1;CHLORHYDRATE DE SERTRALINE
gélule;1;ACÉTATE DE ZINC DIHYDRATÉ
comprimé;1;SULFAMÉTHIZOL
solution buvable;1;ITRACONAZOLE
granulés;3;BERBERIS VULGARIS POUR PRÉPARATIONS HOMÉOPATHIQUES;PULSATILLA POUR PRÉPARATIONS HOMÉOPATHIQUES;CARDUUS MARIANUS POUR PRÉPARATIONS HOMÉOPATHIQUES
 comprimé et solution(s) et granules et poudre et pommade;1;DROSERA POUR PRÉPARATIONS HOMÉOPATHIQUES
 comprimé et solution(s) et granules et poudre et pommade;1;MAGNESIA PHOSPHORICA POUR PRÉPARATIONS HOMÉOPATHIQUES
granules et  poudre et  solution en gouttes en gouttes;1;APATITE POUR PRÉPARATIONS HOMÉOPATHIQUES
lyophilisat;1;ONDANSÉTRON
granulés;1;NUX VOMICA POUR PRÉPARATIONS HOMÉOPATHIQUES
solution injectable pour perfusion;1;FOSCARNET SODIQUE HEXAHYDRATÉ
emplâtre;1;ACIDE SALICYLIQUE
 comprimé et solution(s) et granules et poudre et pommade;1;HELLEBORUS NIGER POUR PRÉPARATIONS HOMÉOPATHIQUES
suspension injectable;2;PROTÉINE L1 DE PAPILLOMAVIRUS HUMAIN DE TYPE 18 (HPV) (RECOMBINANT, ADSORBÉ, AVE;PROTÉINE L1 DE PAPILLOMAVIRUS HUMAIN DE TYPE 16 (HPV) (RECOMBINANT, ADSORBÉ, AVE
poudre pour solution à diluer pour perfusion;1;PEMBROLIZUMAB 
solution pour pulvérisation;1;TRINITRINE (SOLUTION DE)
granulés;1;ÉRYTHROMYCINE (ÉTHYLSUCCINATE D')
comprimé enrobé;1;ANÉTHOLTRITHIONE
 comprimé et solution(s) et granules et poudre et pommade;1;KALIUM ARSENICOSUM POUR PRÉPARATIONS HOMÉOPATHIQUES
granules et  solution en gouttes en gouttes;1;ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES
comprimé pelliculé;2;GLIBENCLAMIDE;CHLORHYDRATE DE METFORMINE
collyre;1;LODOXAMIDE TROMÉTAMOL
solution injectable pour perfusion;1;FER (III) ISOMALTOSIDE 1000
gélule gastro-résistant(e);1;DIDANOSINE
comprimé;1;CABERGOLINE
gélule;1;GRANDE BARDANE (RACINE DE) (EXTRAIT SEC DE)
comprimé gastro-résistant(e);1;SODIUM (VALPROATE DE)
comprimé;1;CITRATE DE FENTANYL
suspension injectable;4;PROTÉINE L1 RECOMBINANTE ADSORBÉE DU VIRUS HUMAIN PAPILLOMAVIRUS HPV TYPE 16 ;PROTÉINE L1 RECOMBINANTE ADSORBÉE DU VIRUS HUMAIN PAPILLOMAVIRUS HPV TYPE 6 ;PROTÉINE L1 RECOMBINANTE ADSORBÉE DU VIRUS HUMAIN PAPILLOMAVIRUS HPV TYPE 18 ;PROTÉINE L1 RECOMBINANTE ADSORBÉE DU VIRUS HUMAIN PAPILLOMAVIRUS HPV TYPE 11 
poudre et  solvant pour solution injectable;1;EFTRÉNONACOG ALFA 
granules et  poudre et  solution en gouttes en gouttes;1;CAUSTICUM POUR PRÉPARATIONS HOMÉOPATHIQUES
poudre et  suspension pour suspension injectable;9;ANTIGÈNE COQUELUCHEUX : ANATOXINE ;VIRUS POLIOMYÉLITIQUE SOUCHE MEF-1 DE TYPE 2 INACTIVÉ ;VIRUS POLIOMYÉLITIQUE SOUCHE SAUKETT DE TYPE 3 INACTIVÉ ;VIRUS POLIOMYELITIQUE SOUCHE MAHONEY DE TYPE 1 INACTIVÉ ;ANTIGÈNE COQUELUCHEUX : HÉMAGGLUTININE FILAMENTEUSE ;ANATOXINE DIPHTÉRIQUE ;POLYOSIDE HAEMOPHILUS INFLUENZAE TYPE B CONJUGUÉ À L'ANATOXINE TÉTANIQUE;ANATOXINE TÉTANIQUE ;ANTIGÈNE COQUELUCHEUX : PERTACTINE  
implant;1;ACÉTATE DE GOSÉRÉLINE
granulés;3;PASSIFLORA INCARNATA POUR PRÉPARATIONS HOMÉOPATHIQUES;VALERIANA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;CRATAEGUS OXYACANTHA POUR PRÉPARATIONS HOMÉOPATHIQUES
gélule;1;HOUBLON (CONE DE)
solution à diluer pour perfusion;1;OXALIPLATINE
comprimé sécable;2;SPIRONOLACTONE;ALTIZIDE
solution à diluer pour solution injectable pour perfusion;1;DOCÉTAXEL
gel;1;LITHIUM (GLUCONATE DE)
poudre pour inhalation;1;BUDÉSONIDE
comprimé enrobé;1;SENNOSIDES
crème;1;KÉTOCONAZOLE
poudre pour solution injectable;1;CEFTRIAXONE SODIQUE
comprimé pelliculé;1;ACIDE TRANEXAMIQUE
solution injectable;1;BUSÉRÉLINE (ACÉTATE DE)
solution injectable;1;MACROGOL 9 (ÉTHER LAURIQUE DE)
 comprimé et solution(s) et granules et poudre et pommade;1;ANTIMONIUM ARSENICOSUM POUR PRÉPARATIONS HOMÉOPATHIQUES
capsule molle;1;NITRATE DE FENTICONAZOLE
suspension buvable;1;AMPHOTÉRICINE B
comprimé pelliculé;1;EXTRAIT SEC RAFFINÉ ET QUANTIFIÉ DE GINKGO
lotion;1;TOLNAFTATE
gaz pour inhalation;2;PROTOXYDE D'AZOTE;OXYGÈNE
comprimé enrobé;1;EXTRAIT SEC DE CHARDON MARIE
gélule;1;CHLORHYDRATE DE PROCARBAZINE
collyre en solution;1;ACÉTYLCYSTÉINE
solution injectable;1;SULFATE DE PROTAMINE
comprimé enrobé;2;PAPAVÉRINE (CHLORHYDRATE DE);CHARBON ACTIVÉ
comprimé pelliculé;1;ENTÉCAVIR MONOHYDRATÉ
poudre pour solution buvable;5;CHLORURE DE SODIUM;CHLORURE DE POTASSIUM;SULFATE DE SODIUM ANHYDRE;MACROGOL 3350;BICARBONATE DE SODIUM
solution buvable;1;LÉVOCARNITINE
émulsion pour perfusion;4;HUILE DE POISSON RICHE EN ACIDES OMÉGA-3 ;TRIGLYCÉRIDES À CHAÎNE MOYENNE;HUILE DE SOJA RAFFINÉE;HUILE D'OLIVE RAFFINÉE
comprimé pelliculé sécable;1;HYDROXYCARBAMIDE
poudre pour solution pour perfusion;1;CEFTAZIDIME PENTAHYDRATÉE
 comprimé et solution(s) et granules et poudre et pommade;1;CROTON TIGLIUM POUR PRÉPARATIONS HOMÉOPATHIQUES
pâte;1;MÉTRONIDAZOLE
solution injectable;1;CITRATE DE FENTANYL
 comprimé et solution(s) et granules et poudre et pommade;1;HYPERICUM PERFORATUM POUR PRÉPARATIONS HOMÉOPATHIQUES
capsule;1;NIFÉDIPINE
comprimé;2;ARTÉMÉTHER;LUMÉFANTRINE
solution pour application;1;MELALEUCA VIRIDIFLORA (ESSENCE DE)
pommade;2;SULFATE DE NÉOMYCINE;ACÉTONIDE DE TRIAMCINOLONE
suspension buvable;1;ATOVAQUONE
gélule;1;TARTRATE D'ÉLIGLUSTAT
comprimé à sucer;2;CHLORURE DE CÉTYLPYRIDINIUM;CHLORHYDRATE DE LIDOCAÏNE
solution et  solution pour perfusion;32;HYDROXYDE DE POTASSIUM;ACÉTYLCYSTÉINE;PROLINE;DIOXYDE DE SÉLÉNIUM;CHLORURE DE MANGANÈSE TÉTRAHYDRATÉ;TAURINE;ACIDE GLUTAMIQUE;CHLORURE DE SODIUM;LYSINE MONOHYDRATÉE;FLUORURE DE SODIUM;THRÉONINE;ASPARTIQUE (ACIDE);ALANINE;PHOSPHATE MONOPOTASSIQUE;CHLORURE DE CHROME HEXAHYDRATÉ;LACTATE DE MAGNÉSIUM DIHYDRATÉ;HISTIDINE;PHÉNYLALANINE;LEUCINE;ISOLEUCINE;SÉRINE;TRYPTOPHANE L;GLUCOSE MONOHYDRATÉ;MÉTHIONINE;IODURE DE POTASSIUM;GLUCONATE DE CALCIUM;VALINE;SULFATE DE CUIVRE PENTAHYDRATÉ;ACÉTATE DE ZINC DIHYDRATÉ;ARGININE;TYROSINE;GLYCINE
comprimé pelliculé;1;EXÉMESTANE
collyre;1;SODIUM (CROMOGLICATE DE)
comprimé sécable;1;CHLORHYDRATE DE MÉTOCLOPRAMIDE
comprimé pelliculé à libération prolongée;1;CHLORHYDRATE DE TAMSULOSINE
granules et  poudre et  solution en gouttes en gouttes;1;CAULOPHYLLUM THALICTROIDES POUR PRÉPARATIONS HOMÉOPATHIQUES
solution injectable;2;PHÉNOL;CHLORURE DE SODIUM
solution buvable;1;CHLORHYDRATE DE MÉMANTINE
comprimé;1;CITRATE DE SILDÉNAFIL
solution injectable;1;DINITRATE D'ISOSORBIDE
