B01BC7C8D59A80E648681AE1ABF989736E9F8C9E;comprimé pelliculé;2;OLMÉSARTAN MÉDOXOMIL;HYDROCHLOROTHIAZIDE;ALTEISDUO 20 mg/12,5 mg, comprimé pelliculé
86F16C2978E7CA45CD464EC1FF0298955B60FC09;comprimé;1;NÉVIRAPINE ANHYDRE;NEVIRAPINE MYLAN 200 mg, comprimé
B284A82DCE8CA8E02A2803B12EAA27B83CC5EA6C;comprimé;1;FUMARATE DE RUPATADINE;RUPATADINE BIOGARAN 10 mg, comprimé;D34CF9D09C708B68299C08C5EF931E9348A1BFBB
BD64F092EAC8C2DCE7D0D5D8D96D068B0FB3F218;dispositif;1;ESTRADIOL;THAIS 100 microgrammes/24 heures, dispositif transdermique
2EB657FE29E3B154C646AE1CBA4EE7B3326437B0;lyophilisat pour préparation injectable;1;STREPTOZOCINE;ZANOSAR, lyophilisat pour préparation injectable
D773689FCD03D5FC0E3B23B0F9F9ECC3B822B47E;comprimé sécable;1;FOSINOPRIL SODIQUE;FOSINOPRIL EG 10 mg, comprimé sécable
E655815C1031A18C8344FC5894E14E291AF00733;solution injectable;1;BOTULIQUE (TOXINE) TYPE B ;NEUROBLOC 5000 U/ml, solution injectable
E4FB6EE14EA22542592AB95C2812D1C3A4561436;comprimé effervescent(e) sécable;1;PARACÉTAMOL;DAFALGAN 500 mg, comprimé effervescent sécable
42E85185AF9A93447769D703E7D5155515A35EAE;poudre et  solvant pour suspension injectable à libération prolongée;1;RISPÉRIDONE;RISPERDALCONSTA L.P. 50 mg/2 ml, poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie
0A82CB03AC1F5052720E59D99B636EE7AD1044EB;comprimé pelliculé;1;ZOFÉNOPRIL CALCIQUE;TEOULA 15 mg, comprimé pelliculé;50A02CCBD7597E44DB084B6C35629DAD712DE131
015941F257DAAE6DFC38393D85F5606811F6EE7D;poudre pour solution injectable;1;PYROPHOSPHATE DE SODIUM DÉCAHYDRATÉ;ANGIOCIS. Trousse pour préparation du pyrophosphate d'étain utilisé pour le marquage in vivo des hématies au technétium [99m Tc]
54675BC23F120398C2E76B9FCC1F3E47AB99469B;comprimé pelliculé;2;VALSARTAN;HYDROCHLOROTHIAZIDE;VALSARTAN/HYDROCHLOROTHIAZIDE EG 160 mg/25 mg, comprimé pelliculé
D0F6348F283F78830CB624612C5AF3A0231C50E4;comprimé pelliculé sécable;1;ATÉNOLOL;ATENOLOL MYLAN 100 mg, comprimé pelliculé sécable
8B5EC15371F9859748787D29E19F9CD9D7ABC539;gaz pour inhalation;1;ISOFLURANE;ISOFLURANE BELAMONT, gaz anesthésique pour inhalation en flacon
995C209210EBDA7F2A77BDC6B2362C81C8E114E9;poudre pour suspension buvable;2;AMOXICILLINE TRIHYDRATÉE;CLAVULANATE DE POTASSIUM;AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA 100 mg/12,5 mg/ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
DB5EC85C98F565F132CF4033481D69F52F36438A;émulsion pour perfusion;3;PHOSPHATIDES D'OEUF PURIFIÉS;GLYCÉROL;HUILE DE POISSON RICHE EN ACIDES OMÉGA-3 ;OMEGAVEN, émulsion pour perfusion
856BC5EC2D11D5A9782A849841D540EA67C4B5A7;comprimé pelliculé;2;ESTRADIOL;ACÉTATE DE NORÉTHISTÉRONE;KLIOGEST, comprimé pelliculé
0F2415A802C473F8E1741D76D23908884F461A7D;solution injectable;1;THIOCOLCHICOSIDE;MIOREL 4 mg/2 ml, solution injectable (IM) en ampoule
27068D1BF9D0BD57139931F45BE22856A08300B9;comprimé pelliculé;2;EMTRICITABINE;PHOSPHATE DE TÉNOFOVIR DISOPROXIL;EMTRICITABINE/TENOFOVIR DISOPROXIL ZENTIVA 200 mg/245 mg, comprimé pelliculé
359E4F9E61E582AD6251E5D30A5E8EEA1370268A;comprimé pelliculé sécable;1;FLUVOXAMINE (MALÉATE DE);FLUVOXAMINE SANDOZ 50 mg, comprimé pelliculé sécable
6BBD76561C3AB242D2AA6C8E9545A43A2A5C0ACF;comprimé;2;CHOLÉCALCIFÉROL (CONCENTRAT DE), FORME PULVÉRULENTE;ALENDRONATE MONOSODIQUE TRIHYDRATÉ;ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/5600 UI, comprimé
A7DEF941CD45AE3E671D4ED0210EBE3516FA8EDD;gélule;1;GABAPENTINE;GABAPENTINE ARROW GENERIQUES 100 mg, gélule
79C8E60AC36B03B9A67A6804EC9E206989AAA9FF;solution à diluer pour perfusion;1;DOCÉTAXEL;DOCETAXEL KABI 120 mg/6 ml, solution à diluer pour perfusion
64F5AA3C8957D69F73CC622705F04295A2593FE5;poudre pour inhalation;1;PROPIONATE DE FLUTICASONE;FLIXOTIDE DISKUS 250 microgrammes/dose, poudre pour inhalation
D28BF47AB4E689F18BBC334E65967A2B6021BE0C;solution injectable;1;TARTRATE D'ADRÉNALINE;ADRENALINE RENAUDIN 0,25 mg/ml, solution injectable en ampoule;B9AB8BE17AC40ADC354B364B2ECB54BDFFAC4913
9C172C0F61C06337FB610807EE63B9A320772878;comprimé pelliculé sécable;1;FUMARATE DE BISOPROLOL;BISOCE 10 mg, comprimé pelliculé sécable
EB6A6EA6973D959F654A9C6DA2CC08F1BE1AD577;solution buvable;1;LACTULOSE LIQUIDE;LACTULOSE MYLAN 10 g/15 ml, solution buvable en sachet;CBCE4E5300CB665986235F7418ADF9658B0CF3C7
C546B5494556DA344273546BCF700B56E3F6B363;comprimé pelliculé;1;TOPIRAMATE;TOPIRAMATE BLUEFISH 100 mg, comprimé pelliculé
55C992640D21C93650C15623102CBCC1573B7E59;comprimé pelliculé;1;RISÉDRONATE MONOSODIQUE ANHYDRE;RISEDRONATE TEVA 75 mg, comprimé pelliculé;BFE8B41464CBA279258AB4E8685292DFBD050072
06D8C33FB54002959BD1C2D98279B35F7BE2367E;solution injectable;1;IODURE (131I) DE SODIUM;IODURE (131I) DE SODIUM 185 MBq/mL, MALLINCKRODT FRANCE, solution injectable
DE0C5CB3836056198FFBA2F25D92B23738C495F5;comprimé pelliculé;1;LÉTROZOLE;LETROZOLE ARROW 2,5 mg, comprimé pelliculé
BD773CBAE11084341D7A39DD672BF5B3D3447055;solution injectable;1;IMMUNOGLOBULINE HUMAINE NORMALE (PLASMATIQUE);HIZENTRA 200 mg/ml, solution injectable sous-cutanée
8A903C3F750E759382D9F938AF56F5F4C5DECFEA;comprimé pelliculé sécable;1;OXALATE D'ESCITALOPRAM;ESCITALOPRAM ZENTIVA LAB 10 mg, comprimé pelliculé sécable;FCDD4B1A846E5B13BE01EB591509E8833486DEE9
F365462530F62D691F567E6AC2B53198C8EC13B8; comprimé et solution(s) et granules et poudre et pommade;1;AMMONIUM CARBONICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;AMMONIUM CARBONICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
CE28E6658D20B634AF2CB7B1C979EC8BF03B438D;comprimé pelliculé;1;MALÉATE DE TRIMÉBUTINE;TRIMEBUTINE TEVA SANTE 200 mg, comprimé pelliculé
81AF19BB09C9A5F89F68AD50C7900D7272EA0371;comprimé dispersible;1;ÉVÉROLIMUS;CERTICAN 0,25 mg, comprimé dispersible
AFE67F499DCE6ACB84FE398206E4BB4228D87BB1;collyre en solution;1;TOBRAMYCINE;TOBREX 0,3 %, collyre en solution
52EF7D1A0D7296CF7C010BCB8D5052943FF03EB7;solution pour perfusion;1;AMINOPHYLLINE;AMINOPHYLLINE RENAUDIN 250 mg/10 ml, solution pour perfusion
3DB637E878762677CB2B86880321DBF432DE9EC6;granules et  solution en gouttes en gouttes;1;VALERIANA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;VALERIANA OFFICINALIS WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
A3D0844D4F2AFBD8528CBD8E6F2F3E97C396294D;comprimé orodispersible;1;RISPÉRIDONE;RISPERIDONE RATIOPHARM 2 mg, comprimé orodispersible
F9A989D56C63570E4E07F02D27005B95F2C5A9C2;gélule;1;TOPIRAMATE;TOPIRAMATE ARROW 50 mg, gélules
2B48D38574E927565334A012FB8ABA7D8F2E389E;solution injectable;1;GLUCOSE MONOHYDRATÉ;GLUCOSE 10 POUR CENT (1 g/10 ml) RENAUDIN, solution injectable en ampoule;A6964EB7931713190DEF3E795CA77BB86B49E1C1
33880083741CBCE1D09B55118502E32D88631D20;comprimé pelliculé sécable;1;CHLORHYDRATE D'HYDROXYZINE;HYDROXYZINE EG 25 mg, comprimé pelliculé sécable
90B3385CD9DCBEBE3F782E6029B0FCDA7686134C;comprimé sécable;1;MOLSIDOMINE;MOLSIDOMINE MYLAN 4 mg, comprimé sécable
36C96AA75A63C873A35BBEE0EF888A912462B0A2;solution pour usage dentaire;3;PHÉNOL;ACÉTATE DE DEXAMÉTHASONE;GAÏACOL;ROCKLES, solution pour usage dentaire
A9C0BDE271EA34FD69FE78B2FAE34B3E01A04E2F;comprimé pelliculé;2;IBUPROFÈNE;CODÉINE (PHOSPHATE DE) HÉMIHYDRATÉ;ANTARENE CODEINE 200 mg/30 mg, comprimé pelliculé
EB611051B29420B2D381B77159A75CCC9D39BF5F;comprimé;1;RAMIPRIL;RAMIPRIL EG 1,25 mg, comprimé
F1E3F38118438A07639C52EE80FCC7D813F1801E;comprimé;1;CABERGOLINE;CABERGOLINE TEVA 0,5 mg, comprimé
BD5D2B81DBB3FAFDAFF0028BFCB1EF85516CAEF9;comprimé pelliculé;1;NABUMÉTONE;NABUCOX 500 mg, comprimé pelliculé
FDEF8A66F33853330451D3C2D0F8838BFE02688F;gélule;1;FÉNOFIBRATE;FENOFIBRATE ARROW 200 mg, gélule
ECAD8A73866D398FB6839F858B53ED905F945339;suppositoire;1;MÉSALAZINE;ROWASA 500 mg, suppositoire
F215218FDE5A866DD3205DF3209CF3EBE043AAE6;solution et  solution pour dialyse péritonéale;6;CHLORURE DE CALCIUM DIHYDRATÉ;CHLORURE DE SODIUM;(S)-LACTATE DE SODIUM;BICARBONATE DE SODIUM;CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ;GLUCOSE MONOHYDRATÉ;PHYSIONEAL 35 GLUCOSE 1,36 %, solution pour dialyse péritonéale
AEAA13299F2F18B3198EA534BAA71379F1EFB5FB;solution injectable;1;FLUDÉSOXYGLUCOSE [18F];FLUDESOXYGLUCOSE [18 F]-IBA, solution injectable
65FDCD18B439B68B9D715C853C04FB17DE18A466;poudre et  solvant pour solution injectable;1;SPECTINOMYCINE (DICHLORHYDRATE DE);TROBICINE 2 g, poudre et solvant pour solution injectable;706C21211D9C6CC4FEF01AE0906FC6425A49A60E
BD4384C157BF999FFB5214D7674C0A7B4B0583AE;comprimé sécable;1;CHLORHYDRATE DE SOTALOL;SOTALOL RANBAXY 80 mg, comprimé sécable
DB9766B687F2E7A7E7EDE9A86E058B80E40F2BFE;poudre pour solution buvable;1;DL-LYSINE (ACÉTYLSALICYLATE DE);KARDEGIC 160 mg, poudre pour solution buvable en sachet;44BD23778AB2E746A7E63F1812031F09A8372A2B
D9BD7978810CC535319AA4C17F24F926EFFD3D61;poudre et  solvant pour solution injectable;1;CEFTRIAXONE SODIQUE;CEFTRIAXONE ACTAVIS 1 g/10 ml, poudre et solvant pour solution injectable (IV, SC);E7F0DE1C843BAE02710DB1216FCB241C1FE3DB04
9178989DC5C28E6250716FD12CAEFEF6FEA8883B;solution injectable;1;INSULINE HUMAINE RECOMBINANTE ;ACTRAPID PENFILL 100 unités internationales/ml, solution injectable en cartouche
9CA00764DB2D8111DB85ABE12045C9066F0E85A3;comprimé;1;CHLORHYDRATE DE BUPRÉNORPHINE;BUPRENORPHINE SANDOZ 6 mg, comprimé sublingual;B8DCC6C7D1BAE7A5C658BF94CBF8A1359ABE0400
9E162DFF5923C3B848E7E5D90406D092FCCBC87E;collyre en solution;1;CYANOCOBALAMINE;VITAMINE B12 HORUS 0,2 mg/0,4 ml, collyre en solution en récipient unidose
D5038B174BBFC580016F7C5288113C2B8DE92AAA;gélule;1;HYDROGÉNOTARTRATE DE RIVASTIGMINE;RIVASTIGMINE MYLAN 1,5 mg, gélule;7EF2E62E2B51AC148FF0028401F4620BE306D833
11A6BE377ECCE1F1E38B7F484ECBD9AA5094F11D;gélule à libération prolongée;1;CHLORHYDRATE DE VENLAFAXINE;VENLAFAXINE BIOGARAN LP 37,5 mg, gélule à libération prolongée;A90DAFAB9CCADF6E81E7313114F47D772E05186A
4349C98C6788F4C988CB45236D26BF82B50EC058;solution injectable;1;CHLORHYDRATE D'ÉPHÉDRINE;EPHEDRINE AGUETTANT 3 mg/ml, solution injectable en seringue préremplie
54C4FF9DD096F2D912BCF5D6EDAC42F8F26F7ED8;comprimé sécable;1;RAMIPRIL;RAMIPRIL MYLAN 10 mg, comprimé sécable
87F19A53F927B6B3D3C14544EE4F3BD458EA6108;comprimé pelliculé sécable;1;BÉTAXOLOL (CHLORHYDRATE DE);BETAXOLOL MYLAN 20 mg, comprimé pelliculé sécable
38E10822B16E59F170BC5AF3615303A9CB4C2F54;comprimé pelliculé;2;DROSPIRÉNONE;ÉTHINYLESTRADIOL;ETHINYLESTRADIOL/DROSPIRENONE SANDOZ 0,02 mg/3 mg, comprimé pelliculé
5506886A6AD2E1D24C6D0958EC90EB4055122986;collyre en solution;1;POVIDONE;NUTRIVISC 5 POUR CENT (20 mg/0,4 ml), collyre en solution en récipient unidose
BDB3291962B021466BE34AA8BBAB5CA4D504DCDA;solution buvable;1;ACIDE TRANEXAMIQUE;SPOTOF 1 g/10 ml, solution buvable
A7B90CD3C229A1FB68DEA754F60866BB1CF0D0C2;poudre pour suspension buvable;1;FLUCONAZOLE;FLUCONAZOLE ZENTIVA 10 mg/ml, poudre pour suspension buvable
F1FC5A843A0A41B6BCFD88C22A3D90ABF4D429DE;granulés pour sirop;2;ACÉTYL SULFAFURAZOL;ÉRYTHROMYCINE (ÉTHYLSUCCINATE D');PEDIAZOLE, granulés pour sirop en flacon
D4D665BADCD0FDC43B762C1EBF54B91CEFD7E184;solution injectable;1;CHLORHYDRATE D'ONDANSÉTRON DIHYDRATÉ;ONDANSETRON ACCORD 2 mg/ml, solution injectable;8D4DD0074DF53E0A248CFEB3C739B67A52E3BD8C
D3F3AE8C7C74A938444D3A6DC89A0F25E159341D;comprimé pelliculé;1;CHLORHYDRATE DE ROPINIROLE;REQUIP 0,50 mg, comprimé pelliculé;115EB85CF9F96ADC27F6031C55AA66D2F924882B
B12813FB060DB0C9E590EA96BCCF219D42E42736;comprimé dispersible ou à croquer;1;LAMOTRIGINE;LAMICTAL 100 mg, comprimé dispersible ou à croquer
CAE5E3BFCB35B0034CB56D3186ED028311D2C146;comprimé effervescent(e);1;RANITIDINE (CHLORHYDRATE DE);RANITIDINE SANDOZ 150 mg, comprimé effervescent;93DCE410A33712F5BC93316979D5095BBDEB6E81
197DF94D19ADA3B6CA54308C2B11AC2BD7A3D094; comprimé et solution(s) et granules et poudre et pommade;1;HEDERA HELIX POUR PRÉPARATIONS HOMÉOPATHIQUES;HEDERA HELIX BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
B53746DDD36FC5ED1704D2AE3F0D608509B871AD;pâte;3;VASELINE;LACTULOSE;PARAFFINE LIQUIDE;MELAXOSE, pâte orale en pot
195FC37919FBC7F02B4C61D3D4AB34FFCEFE6A4C;comprimé;2;ÉTHINYLESTRADIOL;DÉSOGESTREL;DESOBEL 150 microgrammes/20 microgrammes, comprimé
5C7B128E29B772B581A0B01CB5E0B4C94B47F813;solution injectable;1;MÉTHOTREXATE;METOJECT 17,5 mg/0,35 ml, solution injectable en stylo prérempli
B281C392C463CE1B27327EF52E3D63FFE59149D4;solution injectable;2;TARTRATE D'ADRÉNALINE;ARTICAÏNE (CHLORHYDRATE D');ORABLOC 40 mg/ml ADRENALINEE au 1/200 000, solution injectable
5A892F07FFFA7054BBA0236E26739B95D21857E8;comprimé pelliculé à libération prolongée;1;CHLORHYDRATE D'OXYCODONE;OXYCODONE MYLAN LP 10 mg, comprimé pelliculé à libération prolongée;3F84C73E352AD85888F569E44008F5D9168F5EDA
5A257AD3193ABCFA424934B622DDBC8D3B960C14;solution pour perfusion;1;BICARBONATE DE SODIUM;HOSPASOL167 mmol/l, solution pour perfusion
CB6980EA8F1D4DF3A9DCC199B3DEDE54A9B0FBCB;comprimé sécable;1;FUMARATE DE BISOPROLOL;BISOPROLOL ACTAVIS 2,5 mg, comprimé sécable
93D47066EFA91B9EA3EC1FF0B1B9B10257097A13;comprimé pelliculé;1;CHLORHYDRATE DE CÉFOTIAM HEXÉTIL;TAKETIAM 200 mg, comprimé pelliculé;3F03453C71B6972ADEE4848AAABAC1F351FC0D2F
393A3BD5C085F5AB42AB2CBE4DB3C47A1D46774E;comprimé pelliculé;1;LÉTROZOLE;LETROZOLE MYLAN 2,5 mg, comprimé pelliculé
43A6C94B8AB69980F8AC4168856C10469D02E68A;collutoire;2;DIGLUCONATE DE CHLORHEXIDINE;TÉTRACAÏNE (CHLORHYDRATE DE);ELUDRIL, collutoire
BEBB6E0C6F33F0D2254280EBD750FE53C211D368;comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;FUMARATE DE BISOPROLOL;BISOPROLOL/HYDROCHLOROTHIAZIDE BIOGARAN 5 mg/6,25 mg, comprimé pelliculé
622565F3C386E2F1BB77798F3E9ECAD20199AF4D;comprimé pelliculé;1;DOMPÉRIDONE;DOMPERIDONE EG 10 mg, comprimé pelliculé
6D806989FDFE55186853ACA2040F205DE21605E7;poudre et  solvant pour solution injectable;1;FACTEUR IX DE COAGULATION HUMAIN ;BETAFACT 50 UI/ml, poudre et solvant pour solution injectable
C5271D0ECF8614C60D7F6F4870B96D20603E31DA; comprimé et solution(s) et granules et poudre et pommade;1;UVA URSI POUR PRÉPARATIONS HOMÉOPATHIQUES;UVA URSI LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
BCA29942986769E3815B4F2514EAAA47360A27F1;poudre et  solution pour usage parentéral;1;CÉFAZOLINE SODIQUE;CEFAZOLINE PANPHARMA 1 g/3 ml, poudre et solution pour usage parentéral (IM);4E226E4EAC0C1C380962636D911F27A705B3281E
D3D96C6278DDCE796D85657CF2BABE035F66B3A6;comprimé pelliculé;1;CHLORHYDRATE DE METFORMINE;METFORMINE ISOMED 500 mg, comprimé pelliculé;7CD14E5C943AE93EB9C2E099D4E84450FA36E62F
